trajectory_id,degenerate,n_chunks,n_chunks_post_horizon,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode,generator,W,temperature,semantic_seed,stochastic_seed,source,generation_run_id
or-qwen3-8b__W4096__T0p3__biology__s1,True,48,44,0.363636,1,0.131512,0,1,1,0.106483,0.342577,0.436542,7.26833,0.417927,-0.00662281,1,2,or-qwen3-8b,4096,0.3,biology,1,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__biology__s2,True,48,44,1,1,0.0170184,0,1,1,0.161314,0.168103,0.404033,7.22298,0.39321,0.00391004,1,3,or-qwen3-8b,4096,0.3,biology,2,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__finance__s1,True,48,44,0.795455,0.977273,0.0839484,0,0.23208,1,0.141107,0.358696,0.454205,7.6194,0.435514,0.0204213,1,3,or-qwen3-8b,4096,0.3,finance,1,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__finance__s2,True,48,44,0.0227273,1,0.0232311,0,1,1,0.0296571,0.0901639,0.493556,7.68332,0.451013,0.000342474,1,2,or-qwen3-8b,4096,0.3,finance,2,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__love__s1,True,48,44,1,1,0.0388463,0,0.976471,1,0.471319,0.623583,0.261853,7.03605,0.270954,0.0204953,1,3,or-qwen3-8b,4096,0.3,love,1,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__love__s2,True,48,44,1,1,0.0883255,0,0.435616,1,0.468341,0.663311,0.260387,7.02312,0.254316,-0.0143311,1,3,or-qwen3-8b,4096,0.3,love,2,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__noise__s1,True,48,44,0.863636,0.954545,0.183916,0,0.406903,1,0.380253,0.71798,0.268056,6.70957,0.299655,-0.0725768,1,3,or-qwen3-8b,4096,0.3,noise,1,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__noise__s2,True,47,43,0,0.976744,0.0247331,0,1,1,0.00982484,0.0292096,0.516201,7.44686,0.48528,0.00162975,1,2,or-qwen3-8b,4096,0.3,noise,2,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__philosophy__s1,True,47,43,1,1,0.0707722,0,0.714175,1,0.252015,0.456493,0.315821,7.01549,0.346363,-0.00928698,1,3,or-qwen3-8b,4096,0.3,philosophy,1,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__philosophy__s2,True,48,44,0.0454545,1,0.0471003,0,0.719029,1,0.0637774,0.108271,0.400564,7.2201,0.409077,0.0239965,1,2,or-qwen3-8b,4096,0.3,philosophy,2,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__physics__s1,True,48,44,0,1,0.0167352,0,0.9456,1,0.0605153,0.0647249,0.477402,7.386,0.446244,0.00323004,1,2,or-qwen3-8b,4096,0.3,physics,1,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__physics__s2,True,48,44,0.0227273,1,0.0680855,0,0.975117,1,0.0710005,0.111111,0.461441,7.33529,0.435147,0.00476315,1,2,or-qwen3-8b,4096,0.3,physics,2,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__programming__s1,True,48,44,0.0909091,1,0.0423863,0,1,1,0.0893427,0.349282,0.462688,7.74355,0.429679,0.00259336,1,2,or-qwen3-8b,4096,0.3,programming,1,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__programming__s2,True,47,43,0.0465116,1,0.0288742,0,1,1,0.0318682,0.108992,0.480141,7.65565,0.463424,0.0142843,1,2,or-qwen3-8b,4096,0.3,programming,2,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__reactor-stable__s1,True,48,44,0,1,0.00221313,0,1,1,0.0132722,0.0146628,0.525035,7.83963,0.446052,9.80904e-05,1,2,or-qwen3-8b,4096,0.3,reactor-stable,1,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
or-qwen3-8b__W4096__T0p3__reactor-stable__s2,True,48,44,0.772727,1,0.131762,0,0.385735,1,0.339875,0.618364,0.335888,7.20057,0.328488,-0.0605171,1,3,or-qwen3-8b,4096,0.3,reactor-stable,2,occupancy-repl,s5-lock-occupancy-repl-20260907T091450Z-e8452acb
