band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid,embedding
0,0.201582,0.484782,0.2832,0.239231,0.32706,True,70,1260,2000,bge-m3
2,0.245535,0.487796,0.242261,0.176465,0.310974,True,80,1440,1996,bge-m3
4,0.269499,0.488647,0.219148,0.149355,0.281192,True,80,1440,1999,bge-m3
6,0.293391,0.480633,0.187242,0.103319,0.277826,True,80,1440,1998,bge-m3
8,0.298302,0.475885,0.177583,0.0936316,0.259161,True,80,1440,2000,bge-m3
10,0.289126,0.474127,0.185,0.109705,0.259687,True,80,1440,2000,bge-m3
12,0.274321,0.482344,0.208023,0.0907624,0.314455,True,6,114,1957,bge-m3
0,0.177894,0.765734,0.58784,0.512194,0.654626,True,70,1260,2000,qwen3-embed-8b
2,0.239351,0.752689,0.513338,0.442115,0.594067,True,80,1440,1996,qwen3-embed-8b
4,0.291392,0.749213,0.457821,0.333543,0.560897,True,80,1440,1999,qwen3-embed-8b
6,0.332569,0.742104,0.409535,0.279869,0.561068,True,80,1440,1998,qwen3-embed-8b
8,0.351164,0.737766,0.386602,0.250858,0.530081,True,80,1440,2000,qwen3-embed-8b
10,0.349485,0.732272,0.382787,0.252222,0.516578,True,80,1440,2000,qwen3-embed-8b
12,0.334007,0.734281,0.400274,0.220804,0.589638,True,6,114,1957,qwen3-embed-8b
0,0.107793,0.353568,0.245775,0.20617,0.284358,True,70,1260,2000,gemini-embed-001
2,0.14013,0.34508,0.20495,0.166528,0.24264,True,80,1440,1996,gemini-embed-001
4,0.153696,0.339646,0.18595,0.148184,0.226814,True,80,1440,1999,gemini-embed-001
6,0.173423,0.332226,0.158803,0.0960891,0.226583,True,80,1440,1998,gemini-embed-001
8,0.183654,0.32956,0.145907,0.071304,0.21293,True,80,1440,2000,gemini-embed-001
10,0.180971,0.326156,0.145185,0.0739782,0.209224,True,80,1440,2000,gemini-embed-001
12,0.171891,0.324085,0.152193,0.0730588,0.238653,True,6,114,1957,gemini-embed-001
