seed_row,seed_col,kind,distance,n_chunk_pairs,last_band,embedding
physics,physics,within,0.186017,1,12,bge-m3
physics,surreal,between,0.516867,4,12,bge-m3
physics,finance,between,0.470815,4,12,bge-m3
physics,biology,between,0.468307,4,12,bge-m3
physics,war,between,0.600608,2,12,bge-m3
physics,love,between,0.500144,4,12,bge-m3
physics,recipe,between,0.544012,4,12,bge-m3
physics,programming,between,0.447816,2,12,bge-m3
physics,philosophy,between,0.472169,2,12,bge-m3
physics,noise,between,0.517932,2,12,bge-m3
surreal,physics,between,0.516867,4,12,bge-m3
surreal,surreal,within,0.189078,1,12,bge-m3
surreal,finance,between,0.533118,4,12,bge-m3
surreal,biology,between,0.534624,4,12,bge-m3
surreal,war,between,0.44543,2,12,bge-m3
surreal,love,between,0.261183,4,12,bge-m3
surreal,recipe,between,0.52394,4,12,bge-m3
surreal,programming,between,0.526474,2,12,bge-m3
surreal,philosophy,between,0.412108,2,12,bge-m3
surreal,noise,between,0.220524,2,12,bge-m3
finance,physics,between,0.470815,4,12,bge-m3
finance,surreal,between,0.533118,4,12,bge-m3
finance,finance,within,0.382179,1,12,bge-m3
finance,biology,between,0.471313,4,12,bge-m3
finance,war,between,0.5449,2,12,bge-m3
finance,love,between,0.493637,4,12,bge-m3
finance,recipe,between,0.522907,4,12,bge-m3
finance,programming,between,0.444047,2,12,bge-m3
finance,philosophy,between,0.518648,2,12,bge-m3
finance,noise,between,0.513978,2,12,bge-m3
biology,physics,between,0.468307,4,12,bge-m3
biology,surreal,between,0.534624,4,12,bge-m3
biology,finance,between,0.471313,4,12,bge-m3
biology,biology,within,0.250182,1,12,bge-m3
biology,war,between,0.578464,2,12,bge-m3
biology,love,between,0.498531,4,12,bge-m3
biology,recipe,between,0.513298,4,12,bge-m3
biology,programming,between,0.471903,2,12,bge-m3
biology,philosophy,between,0.489811,2,12,bge-m3
biology,noise,between,0.509501,2,12,bge-m3
war,physics,between,0.600608,2,12,bge-m3
war,surreal,between,0.44543,2,12,bge-m3
war,finance,between,0.5449,2,12,bge-m3
war,biology,between,0.578464,2,12,bge-m3
war,war,within,,0,12,bge-m3
war,love,between,0.427213,2,12,bge-m3
war,recipe,between,0.56593,2,12,bge-m3
war,programming,between,0.551034,1,12,bge-m3
war,philosophy,between,0.49946,1,12,bge-m3
war,noise,between,0.43853,1,12,bge-m3
love,physics,between,0.500144,4,12,bge-m3
love,surreal,between,0.261183,4,12,bge-m3
love,finance,between,0.493637,4,12,bge-m3
love,biology,between,0.498531,4,12,bge-m3
love,war,between,0.427213,2,12,bge-m3
love,love,within,0.236922,1,12,bge-m3
love,recipe,between,0.458028,4,12,bge-m3
love,programming,between,0.513187,2,12,bge-m3
love,philosophy,between,0.393097,2,12,bge-m3
love,noise,between,0.23045,2,12,bge-m3
recipe,physics,between,0.544012,4,12,bge-m3
recipe,surreal,between,0.52394,4,12,bge-m3
