trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p3__biology__s1,biology,or-qwen3-8b,0.3,1,4096,128,124,0.00148235,0.00614977,0.114091,0.11537,0.565612,0.0129278,0.985183,0.0231377,2.81064,0,0,0,0,0,0,0,True,128,124,0,1,0.0057211,0,0.984917,1,0.0472927,0.0669643,0.452023,7.32067,0.429912,-0.00150023,1,2
or-qwen3-8b__W4096__T0p3__biology__s2,biology,or-qwen3-8b,0.3,2,4096,128,124,0.000570407,0.00555156,0.146378,0.146455,0.100236,0.00718818,0.871041,0.00172499,1,1.49012e-08,0.0483871,0.97561,3.75,4,6.72727,96,True,128,124,0,1,0.00146413,0,1,1,0.0622223,0.0622837,0.436198,7.19692,0.43061,3.63148e-05,1,2
or-qwen3-8b__W4096__T0p3__biology__s3,biology,or-qwen3-8b,0.3,3,4096,128,124,0.0215047,0.0492123,0.363234,0.367437,0.232873,0.0240142,0.765614,0.111225,10.0065,0.0353821,0.0489116,0.753351,2.98936,7,4.20253,94,True,128,124,1,0.991935,0.0385935,0,0.944134,1,0.335742,0.464527,0.357371,6.63083,0.356259,-0.00846996,1,3
or-qwen3-8b__W4096__T0p3__finance__s1,finance,or-qwen3-8b,0.3,1,4096,128,124,0.00673111,0.025407,0.241908,0.239962,0.173499,0.010955,0.89704,0.0258756,7.31257,0,0,0,0,0,0,0,True,128,124,0.00806452,1,0.0113759,0,1,1,0.0499116,0.258278,0.510404,7.79673,0.451799,-7.36852e-07,1,2
or-qwen3-8b__W4096__T0p3__finance__s2,finance,or-qwen3-8b,0.3,2,4096,127,123,0.0978627,0.0260816,0.23125,0.235637,0.0187848,0.0222575,0.0249763,0.192771,1.5744,0.291865,0.04998,0.546667,2.77027,9,2,74,True,127,123,0.98374,1,0.0215713,0,0.914549,1,0.252415,0.402985,0.435526,7.37272,0.345471,-0.00700793,1,3
or-qwen3-8b__W4096__T0p3__finance__s3,finance,or-qwen3-8b,0.3,3,4096,128,124,0.00061982,0.00477334,0.204073,0.204406,0.454106,0.0555411,0.698976,0.00906235,1.02086,0,0,0,0,0,0,0,True,128,124,0,1,0.00674403,0,1,1,0.0241127,0.0271132,0.493915,7.50881,0.448835,0.000569861,1,2
or-qwen3-8b__W4096__T0p3__love__s1,love,or-qwen3-8b,0.3,1,4096,128,124,0.0469087,0.0348312,0.234601,0.26932,0.304465,0.0186364,0.902639,0.242578,14.7101,0.106775,0.0499607,0.976378,12.4,29,21.6667,30,True,128,124,0.620968,1,0.0793759,0,0.7,1,0.26103,0.595694,0.346908,7.12595,0.352789,-0.0255686,1,3
or-qwen3-8b__W4096__T0p3__love__s2,love,or-qwen3-8b,0.3,2,4096,128,124,0.088762,0.0435574,0.304428,0.4582,0.294777,0.0131775,0.945599,0.427976,3.02871,0.378505,0.0499607,0.543307,2.83562,9,3.14943,73,True,128,124,0.790323,0.975806,0.122483,0,0.0321851,1,0.265088,0.744409,0.344039,7.15656,0.366563,-0.0153096,1,3
or-qwen3-8b__W4096__T0p3__love__s3,love,or-qwen3-8b,0.3,3,4096,128,124,0.0461006,0.0232214,0.265273,0.274621,0.29399,0.0122982,0.952038,0.217569,16.5379,0.247472,0.0499607,0.690289,2.82796,12,3.49704,93,True,128,124,1,0.991935,0.0625129,0,0.126812,1,0.532819,0.784156,0.233071,6.98728,0.234969,0.00084345,1,3
or-qwen3-8b__W4096__T0p3__noise__s1,noise,or-qwen3-8b,0.3,1,4096,127,123,0.0575172,0.0381831,0.371165,0.423049,0.245385,0.0106627,0.950116,0.274548,19.5656,0.239856,0.04998,0.568,4.26,31,2.375,50,True,127,123,0.95122,1,0.0834687,0,1,1,0.421296,0.879442,0.30433,7.08102,0.307555,-0.0107712,1,3
