trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p3__biology__s1,biology,or-qwen3-8b,0.3,1,4096,128,124,0.000658445,0.00323483,0.0889199,0.0907038,0.494796,0.0110958,0.985729,0.00890487,2.23888,0,0,0,0,0,0,0,True,128,124,0,1,0.0057211,0,0.984917,1,0.0472927,0.0669643,0.452023,7.32067,0.429912,-0.00150023,1,2
or-qwen3-8b__W4096__T0p3__biology__s2,biology,or-qwen3-8b,0.3,2,4096,128,124,9.70512e-05,0.000733771,0.0885686,0.0887271,0.191027,0.0124111,0.891645,0.000452705,2.0946,0,0,0,0,0,0,0,True,128,124,0,1,0.00146413,0,1,1,0.0622223,0.0622837,0.436198,7.19692,0.43061,3.63148e-05,1,2
or-qwen3-8b__W4096__T0p3__biology__s3,biology,or-qwen3-8b,0.3,3,4096,128,124,0.00958344,0.0226869,0.281237,0.307808,0.362097,0.0099842,0.978581,0.059076,9.9048,0.0224146,0.0498295,0.771053,2.9898,7,4.26087,98,True,128,124,1,0.991935,0.0385935,0,0.944134,1,0.335742,0.464527,0.357371,6.63083,0.356259,-0.00846996,1,3
or-qwen3-8b__W4096__T0p3__finance__s1,finance,or-qwen3-8b,0.3,1,4096,128,124,0.00588249,0.0242594,0.133034,0.121703,0.158817,0.0137994,0.821461,0.0226932,6.18639,0,0,0,0,0,0,0,True,128,124,0.00806452,1,0.0113759,0,1,1,0.0499116,0.258278,0.510404,7.79673,0.451799,-7.36852e-07,1,2
or-qwen3-8b__W4096__T0p3__finance__s2,finance,or-qwen3-8b,0.3,2,4096,127,123,0.0310314,0.0119176,0.195599,0.217156,0.0456524,0.0273694,0.090956,0.0663014,1.29757,0.159414,0.04998,0.653333,2.95181,14,2.06667,83,True,127,123,0.98374,1,0.0215713,0,0.914549,1,0.252415,0.402985,0.435526,7.37272,0.345471,-0.00700793,1,3
or-qwen3-8b__W4096__T0p3__finance__s3,finance,or-qwen3-8b,0.3,3,4096,128,124,0.000146404,0.0010187,0.154477,0.153995,0.764988,0.0313441,0.953897,0.00452034,1.26521,2.98023e-08,0.0456334,0.968391,3.7033,7,6.55046,91,True,128,124,0,1,0.00674403,0,1,1,0.0241127,0.0271132,0.493915,7.50881,0.448835,0.000569861,1,2
or-qwen3-8b__W4096__T0p3__love__s1,love,or-qwen3-8b,0.3,1,4096,128,124,0.0280348,0.0242996,0.248741,0.36356,0.410778,0.0174826,0.950438,0.210966,6.45111,0.120274,0.0499607,0.944882,4.86486,13,8.06897,74,True,128,124,0.620968,1,0.0793759,0,0.7,1,0.26103,0.595694,0.346908,7.12595,0.352789,-0.0255686,1,3
or-qwen3-8b__W4096__T0p3__love__s2,love,or-qwen3-8b,0.3,2,4096,128,124,0.0508828,0.0353051,0.377581,0.614358,0.40468,0.0148715,0.962576,0.358428,7.7759,0.252763,0.0499607,0.700787,4.30645,16,5.06522,62,True,128,124,0.790323,0.975806,0.122483,0,0.0321851,1,0.265088,0.744409,0.344039,7.15656,0.366563,-0.0153096,1,3
or-qwen3-8b__W4096__T0p3__love__s3,love,or-qwen3-8b,0.3,3,4096,128,124,0.0278123,0.0211066,0.294132,0.330043,0.434598,0.0142157,0.970118,0.200209,5.45852,0.191212,0.0499607,0.784777,4.27143,26,5.31858,70,True,128,124,1,0.991935,0.0625129,0,0.126812,1,0.532819,0.784156,0.233071,6.98728,0.234969,0.00084345,1,3
or-qwen3-8b__W4096__T0p3__noise__s1,noise,or-qwen3-8b,0.3,1,4096,127,123,0.0283505,0.0298064,0.432635,0.483745,0.387859,0.0117854,0.974969,0.216247,18.6964,0.148735,0.04998,0.602667,4.61224,19,2.22407,49,True,127,123,0.95122,1,0.0834687,0,1,1,0.421296,0.879442,0.30433,7.08102,0.307555,-0.0107712,1,3
or-qwen3-8b__W4096__T0p3__noise__s2,noise,or-qwen3-8b,0.3,2,4096,128,124,0.00980437,0.0318702,0.236998,0.244468,0.475934,0.0157274,0.969521,0.0838104,2.99265,0,0,0,0,0,0,0,True,128,124,0.016129,0.991935,0.0301877,0,1,1,0.038879,0.101865,0.466251,7.32973,0.458489,-0.0101188,1,2
