band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.211777,0.473383,0.261606,0.233622,0.286393,True,840,7056,2000
2,0.282777,0.478297,0.19552,0.161443,0.227228,True,960,8064,2000
4,0.292979,0.474069,0.18109,0.139451,0.219627,True,960,8064,2000
6,0.311056,0.477893,0.166837,0.127098,0.205868,True,960,8064,2000
8,0.316188,0.473274,0.157085,0.113866,0.201409,True,960,8064,2000
10,0.322834,0.478117,0.155284,0.111398,0.200309,True,960,8064,2000
12,0.322885,0.478684,0.155798,0.111324,0.199475,True,960,8064,2000
14,0.321404,0.475228,0.153824,0.108305,0.200708,True,960,8064,2000
16,0.326992,0.473445,0.146453,0.0982943,0.194226,True,960,8064,2000
18,0.328557,0.46818,0.139623,0.0915268,0.18438,True,960,8064,2000
20,0.324564,0.46965,0.145086,0.0998706,0.193079,True,960,8064,2000
22,0.327727,0.472149,0.144422,0.0961112,0.190277,True,960,8064,2000
24,0.3287,0.47355,0.14485,0.0930746,0.194601,True,960,8064,2000
26,0.327304,0.47429,0.146986,0.100524,0.195928,True,960,8064,2000
28,0.326694,0.473019,0.146325,0.0964722,0.1949,True,960,8064,2000
30,0.329582,0.476506,0.146924,0.0981409,0.193119,True,960,8064,2000
32,0.29846,0.483538,0.185078,0.137391,0.231923,True,76,627,2000
