band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid
0,0.198501,0.757045,0.558544,0.515538,0.59472,True,840,7056,2000
2,0.305858,0.751214,0.445356,0.387175,0.494845,True,960,8064,2000
4,0.344772,0.745347,0.400575,0.328908,0.463329,True,960,8064,2000
6,0.382617,0.741785,0.359168,0.289245,0.424269,True,960,8064,2000
8,0.402529,0.733565,0.331036,0.251731,0.403798,True,960,8064,2000
10,0.420681,0.729657,0.308976,0.231064,0.384296,True,960,8064,2000
12,0.42905,0.727959,0.298908,0.215286,0.374353,True,960,8064,2000
14,0.437355,0.727186,0.289831,0.209396,0.36642,True,960,8064,2000
16,0.446585,0.727979,0.281394,0.196845,0.363415,True,960,8064,2000
18,0.453108,0.723919,0.270811,0.188396,0.347259,True,960,8064,2000
20,0.452531,0.728317,0.275786,0.19397,0.355237,True,960,8064,2000
22,0.454716,0.727855,0.273139,0.191385,0.352774,True,960,8064,2000
24,0.456743,0.727346,0.270603,0.181638,0.357348,True,960,8064,2000
26,0.457024,0.728018,0.270994,0.185093,0.357112,True,960,8064,2000
28,0.459194,0.728852,0.269658,0.181918,0.355657,True,960,8064,2000
30,0.461394,0.729967,0.268573,0.18148,0.356054,True,960,8064,2000
32,0.407428,0.747166,0.339738,0.247986,0.42482,True,76,627,2000
