trajectory_id,degenerate,n_chunks,n_chunks_post_horizon,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b-prefill__W4096__T0p3__physics__s1,True,48,44,0.727273,0.954545,0.0701224,0,1,1,0.11643,0.226446,0.396188,6.93158,0.415787,-0.0695446,1,3
or-qwen3-8b-prefill__W4096__T0p3__physics__s2,True,48,44,0,1,0.000446429,0,1,1,0.063938,0.0639432,0.472689,7.36302,0.439177,-0.000244338,1,2
or-qwen3-8b-prefill__W4096__T0p3__surreal__s1,True,48,44,0.0681818,0.977273,0.115383,0,0.954839,1,0.065677,0.256219,0.445456,7.49661,0.431155,0.00361226,1,2
or-qwen3-8b-prefill__W4096__T0p3__surreal__s2,True,48,44,0.977273,1,0.0285461,0,0.994444,1,0.1697,0.311981,0.346833,7.02405,0.388505,0.00151992,1,3
or-qwen3-8b-prefill__W4096__T1__physics__s1,True,47,43,0.139535,0.976744,0.281471,0,0.396046,0.977867,0.0839408,0.405904,0.518377,7.56145,0.406122,-0.000146812,1,2
or-qwen3-8b-prefill__W4096__T1__physics__s2,False,48,44,0.0454545,0.409091,0.743137,0.00558659,0.0008,0.703085,0.0383773,0.145429,0.501147,7.65769,0.458144,0.0290863,0,0
or-qwen3-8b-prefill__W4096__T1__surreal__s1,True,48,44,0.363636,0.75,0.32933,0,0.917261,1,0.073057,0.158263,0.420649,7.34672,0.462396,-0.0261039,1,2
or-qwen3-8b-prefill__W4096__T1__surreal__s2,True,48,44,0.522727,0.727273,0.712058,0,0.0244195,0.979021,0.0995856,0.231988,0.369183,7.17775,0.424068,-0.074408,1,3
or-qwen3-8b__W4096__T0p3__physics__s1,True,47,43,0.418605,0.930233,0.119517,0,0.626105,1,0.0872532,0.200622,0.45658,7.43426,0.429889,-0.0158497,1,2
or-qwen3-8b__W4096__T0p3__physics__s2,True,48,44,1,1,0.116997,0,0.909732,1,0.248789,0.653789,0.341059,7.02705,0.344209,0.0144321,1,3
or-qwen3-8b__W4096__T0p3__surreal__s1,True,48,44,0.931818,0.977273,0.05808,0,1,1,0.16885,0.405694,0.328547,7.00886,0.38033,-0.00183561,1,3
or-qwen3-8b__W4096__T0p3__surreal__s2,True,48,44,0.818182,0.977273,0.155325,0,1,1,0.318832,0.669022,0.338301,7.19633,0.329723,0.012505,1,3
or-qwen3-8b__W4096__T1__physics__s1,True,48,44,0.181818,0.818182,0.447007,0.00168067,0.0172772,0.687023,0.0551742,0.270866,0.526361,7.734,0.471797,0.00269198,1,2
or-qwen3-8b__W4096__T1__physics__s2,True,48,44,0.977273,0.977273,0.485761,0,0.121445,0.961538,0.542675,0.93314,0.235876,6.39265,0.227538,0.0196109,1,3
or-qwen3-8b__W4096__T1__surreal__s1,True,48,44,0.659091,0.772727,0.675025,0.228464,0.0477038,0.422943,0.14733,0.358108,0.323531,6.96894,0.385549,-0.0703214,1,3
or-qwen3-8b__W4096__T1__surreal__s2,True,48,44,0.772727,0.727273,0.683042,0,0.0640241,1,0.20458,0.546717,0.31095,6.93851,0.362077,-0.0685262,1,3
