trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b-prefill__W4096__T0p3__physics__s1,physics,or-qwen3-8b-prefill,0.3,1,4096,48,44,0.0166099,0.0459484,0.186465,0.270594,0.80145,0.0295805,0.987989,0.231142,1.74771,0,0,0,0,0,0,0,0,True,48,44,0.727273,0.954545,0.0701224,0,1,1,0.11643,0.226446,0.396188,6.93158,0.415787,-0.0695446,1,3
or-qwen3-8b-prefill__W4096__T0p3__physics__s2,physics,or-qwen3-8b-prefill,0.3,2,4096,48,44,0.00167892,0.00168389,0.0609353,0.0618748,-0.0681573,0.340342,0.00447373,0.00349185,1,0,0,0,0,0,0,0,0,True,48,44,0,1,0.000446429,0,1,1,0.063938,0.0639432,0.472689,7.36302,0.439177,-0.000244338,1,2
or-qwen3-8b-prefill__W4096__T0p3__surreal__s1,surreal,or-qwen3-8b-prefill,0.3,1,4096,48,44,0.068541,0.0477773,0.163994,0.154009,0.125277,0.0197365,0.818665,0.186246,2.63729,0,0.252238,0.0496829,0.744681,2.69231,4,2.85294,13,True,48,44,0.0681818,0.977273,0.115383,0,0.954839,1,0.065677,0.256219,0.445456,7.49661,0.431155,0.00361226,1,2
or-qwen3-8b-prefill__W4096__T0p3__surreal__s2,surreal,or-qwen3-8b-prefill,0.3,2,4096,48,44,0.0588841,0.0245866,0.23114,0.241404,0.00720661,0.0437269,0.00303438,0.131335,8.61527,0,0.23651,0.0496829,0.468085,3.66667,6,2.46154,6,True,48,44,0.977273,1,0.0285461,0,0.994444,1,0.1697,0.311981,0.346833,7.02405,0.388505,0.00151992,1,3
or-qwen3-8b-prefill__W4096__T1__physics__s1,physics,or-qwen3-8b-prefill,1,1,4096,47,43,0.084015,0.0598827,0.174561,0.181863,0.105534,0.0331674,0.560407,0.218512,4.12925,0,0.201273,0.0498339,0.622222,5.6,8,5.78571,5,True,47,43,0.139535,0.976744,0.281471,0,0.396046,0.977867,0.0839408,0.405904,0.518377,7.56145,0.406122,-0.000146812,1,2
or-qwen3-8b-prefill__W4096__T1__physics__s2,physics,or-qwen3-8b-prefill,1,2,4096,48,44,0.134541,0.0379115,0.355718,0.427922,0.101171,0.0224099,0.695476,0.363287,1.10191,0,0.440875,0.0496829,0.659574,2.21429,3,2.57692,14,False,48,44,0.0454545,0.409091,0.743137,0.00558659,0.0008,0.703085,0.0383773,0.145429,0.501147,7.65769,0.458144,0.0290863,0,0
or-qwen3-8b-prefill__W4096__T1__surreal__s1,surreal,or-qwen3-8b-prefill,1,1,4096,48,44,0.104832,0.0473114,0.2466,0.277863,0.136164,0.00747406,0.973816,0.297529,10.4865,0,0.375053,0.0496829,0.617021,3.22222,6,2.70588,9,True,48,44,0.363636,0.75,0.32933,0,0.917261,1,0.073057,0.158263,0.420649,7.34672,0.462396,-0.0261039,1,2
or-qwen3-8b-prefill__W4096__T1__surreal__s2,surreal,or-qwen3-8b-prefill,1,2,4096,48,44,0.118739,0.0457774,0.361361,0.362953,0.191535,0.0261342,0.857524,0.372765,7.75561,0,0.390061,0.0496829,0.553191,2.88889,6,3.61905,9,True,48,44,0.522727,0.727273,0.712058,0,0.0244195,0.979021,0.0995856,0.231988,0.369183,7.17775,0.424068,-0.074408,1,3
or-qwen3-8b__W4096__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,4096,47,43,0.105571,0.0932733,0.148746,0.135069,0.143618,0.0326272,0.709282,0.280094,3.00013,0,0.229585,0.0498339,0.644444,2.9,6,2.96154,10,True,47,43,0.418605,0.930233,0.119517,0,0.626105,1,0.0872532,0.200622,0.45658,7.43426,0.429889,-0.0158497,1,2
or-qwen3-8b__W4096__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,4096,48,44,0.0424153,0.0408684,0.250307,0.259356,0.194662,0.0168216,0.937522,0.143322,6.30011,0,0.0850891,0.0496829,0.787234,4.625,7,3.84615,8,True,48,44,1,1,0.116997,0,0.909732,1,0.248789,0.653789,0.341059,7.02705,0.344209,0.0144321,1,3
or-qwen3-8b__W4096__T0p3__surreal__s1,surreal,or-qwen3-8b,0.3,1,4096,48,44,0.0187575,0.0366917,0.223084,0.230897,0.194643,0.0138741,0.956624,0.0604945,8.10164,0,1.49012e-08,0.00317125,0,0,0,0,0,True,48,44,0.931818,0.977273,0.05808,0,1,1,0.16885,0.405694,0.328547,7.00886,0.38033,-0.00183561,1,3
or-qwen3-8b__W4096__T0p3__surreal__s2,surreal,or-qwen3-8b,0.3,2,4096,48,44,0.0737533,0.0361117,0.229081,0.23178,0.285107,0.0309392,0.9049,0.260594,2.24864,0,0.265746,0.0496829,0.808511,3.16667,5,4.14286,12,True,48,44,0.818182,0.977273,0.155325,0,1,1,0.318832,0.669022,0.338301,7.19633,0.329723,0.012505,1,3
or-qwen3-8b__W4096__T1__physics__s1,physics,or-qwen3-8b,1,1,4096,48,44,0.113225,0.0761243,0.2266,0.291904,0.185575,0.0215252,0.892802,0.326504,4.88889,0,0.335976,0.0496829,0.723404,3.77778,7,4.34783,9,True,48,44,0.181818,0.818182,0.447007,0.00168067,0.0172772,0.687023,0.0551742,0.270866,0.526361,7.734,0.471797,0.00269198,1,2
or-qwen3-8b__W4096__T1__physics__s2,physics,or-qwen3-8b,1,2,4096,48,44,0.0715865,0.0288543,0.140204,0.154257,0.0265619,0.0272026,0.096524,0.154731,1.06661,0,0.267606,0.0496829,0.212766,2,2,2.375,5,True,48,44,0.977273,0.977273,0.485761,0,0.121445,0.961538,0.542675,0.93314,0.235876,6.39265,0.227538,0.0196109,1,3
or-qwen3-8b__W4096__T1__surreal__s1,surreal,or-qwen3-8b,1,1,4096,48,44,0.090311,0.0393535,0.328925,0.354596,0.149657,0.0309748,0.723435,0.253064,11.8993,0,0.338417,0.0496829,0.425532,2.5,5,3.12,8,True,48,44,0.659091,0.772727,0.675025,0.228464,0.0477038,0.422943,0.14733,0.358108,0.323531,6.96894,0.385549,-0.0703214,1,3
or-qwen3-8b__W4096__T1__surreal__s2,surreal,or-qwen3-8b,1,2,4096,48,44,0.0709781,0.0399398,0.307201,0.363016,0.215661,0.0221716,0.913805,0.229844,9.80247,0,0.299927,0.0496829,0.808511,2.92308,4,3.44444,13,True,48,44,0.772727,0.727273,0.683042,0,0.0640241,1,0.20458,0.546717,0.31095,6.93851,0.362077,-0.0685262,1,3
