trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b-prefill__W4096__T0p3__physics__s1,physics,or-qwen3-8b-prefill,0.3,1,4096,48,44,0.0123187,0.0298729,0.219572,0.275048,0.820846,0.0356435,0.983451,0.176309,2.04505,0,2.10734e-08,0.00634249,0.833333,2.5,3,4,2,True,48,44,0.727273,0.954545,0.0701224,0,1,1,0.11643,0.226446,0.396188,6.93158,0.415787,-0.0695446,1,3
or-qwen3-8b-prefill__W4096__T0p3__physics__s2,physics,or-qwen3-8b-prefill,0.3,2,4096,48,44,0.00124585,0.00116548,0.0671129,0.0645619,-0.102152,0.426298,0.00639305,0.00259024,1,0,0,0,0,0,0,0,0,True,48,44,0,1,0.000446429,0,1,1,0.063938,0.0639432,0.472689,7.36302,0.439177,-0.000244338,1,2
or-qwen3-8b-prefill__W4096__T0p3__surreal__s1,surreal,or-qwen3-8b-prefill,0.3,1,4096,48,44,0.0356947,0.0300126,0.12242,0.130053,0.197785,0.0229385,0.892827,0.112584,3.49375,0,0.17191,0.0496829,0.723404,2.61538,5,3.03125,13,True,48,44,0.0681818,0.977273,0.115383,0,0.954839,1,0.065677,0.256219,0.445456,7.49661,0.431155,0.00361226,1,2
or-qwen3-8b-prefill__W4096__T0p3__surreal__s2,surreal,or-qwen3-8b-prefill,0.3,2,4096,48,44,0.0183194,0.00873542,0.116006,0.1179,0.151092,0.0374315,0.646107,0.0584433,5.45175,0,0.138772,0.0496829,0.510638,3,6,2.68421,8,True,48,44,0.977273,1,0.0285461,0,0.994444,1,0.1697,0.311981,0.346833,7.02405,0.388505,0.00151992,1,3
or-qwen3-8b-prefill__W4096__T1__physics__s1,physics,or-qwen3-8b-prefill,1,1,4096,47,43,0.0548053,0.0414302,0.227783,0.229358,0.149216,0.0403438,0.632692,0.152457,4.6129,0,0.165406,0.0498339,0.444444,2.85714,5,3.43478,7,True,47,43,0.139535,0.976744,0.281471,0,0.396046,0.977867,0.0839408,0.405904,0.518377,7.56145,0.406122,-0.000146812,1,2
or-qwen3-8b-prefill__W4096__T1__physics__s2,physics,or-qwen3-8b-prefill,1,2,4096,48,44,0.100594,0.0400343,0.569948,0.727381,0.261118,0.0269424,0.913232,0.391747,1.23554,0,0.39357,0.0496829,0.702128,2.75,6,3.18519,12,False,48,44,0.0454545,0.409091,0.743137,0.00558659,0.0008,0.703085,0.0383773,0.145429,0.501147,7.65769,0.458144,0.0290863,0,0
or-qwen3-8b-prefill__W4096__T1__surreal__s1,surreal,or-qwen3-8b-prefill,1,1,4096,48,44,0.052281,0.0514757,0.260913,0.298894,0.157268,0.0146655,0.927984,0.153742,9.83863,0,0.193996,0.0496829,0.765957,3.6,7,3.44828,10,True,48,44,0.363636,0.75,0.32933,0,0.917261,1,0.073057,0.158263,0.420649,7.34672,0.462396,-0.0261039,1,2
or-qwen3-8b-prefill__W4096__T1__surreal__s2,surreal,or-qwen3-8b-prefill,1,2,4096,48,44,0.0761514,0.0395961,0.370211,0.401286,0.272487,0.0259889,0.924914,0.289739,9.01608,0,0.287678,0.0496829,0.680851,2.66667,6,3.37931,12,True,48,44,0.522727,0.727273,0.712058,0,0.0244195,0.979021,0.0995856,0.231988,0.369183,7.17775,0.424068,-0.074408,1,3
or-qwen3-8b__W4096__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,4096,47,43,0.0725319,0.0624504,0.134275,0.105119,0.189565,0.0328707,0.80724,0.215549,3.23722,0,0.173277,0.0442968,0.6,3,7,2.75,8,True,47,43,0.418605,0.930233,0.119517,0,0.626105,1,0.0872532,0.200622,0.45658,7.43426,0.429889,-0.0158497,1,2
or-qwen3-8b__W4096__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,4096,48,44,0.022592,0.0239876,0.331435,0.338124,0.401997,0.0201461,0.978078,0.115313,6.47771,0,0.0823632,0.0496829,0.787234,4.625,7,3.84615,8,True,48,44,1,1,0.116997,0,0.909732,1,0.248789,0.653789,0.341059,7.02705,0.344209,0.0144321,1,3
