trajectory_id,degenerate,n_chunks,n_chunks_post_horizon,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-gemma-4-31b__W4096__T0p3__physics__s1,True,48,44,0.977273,0.863636,0.417521,0,0.0078974,1,0.557,0.932806,0.198337,5.66227,0.212633,-0.0629335,0,1
or-gemma-4-31b__W4096__T0p3__physics__s2,True,48,44,0.681818,0.454545,0.731021,0,0,0.323454,0.322886,0.995935,0.286628,5.61133,0.287865,-0.0535492,0,1
or-gemma-4-31b__W4096__T0p3__surreal__s1,False,48,44,0.0454545,0.113636,0.939449,0.363636,0,0.0202703,0.0251543,0.125,0.653872,4.85985,0.129203,0.139784,0,0
or-gemma-4-31b__W4096__T0p3__surreal__s2,False,48,44,0.295455,0.272727,0.87557,0.203846,0,0.442897,0.0665908,0.310769,0.499328,4.90052,0.167004,-0.0641126,0,0
or-gemma-4-31b__W4096__T1__physics__s1,True,48,44,0.772727,0.863636,0.567037,0,0.00462107,1,0.20654,0.489533,0.374384,6.91402,0.379464,-0.104536,0,1
or-gemma-4-31b__W4096__T1__physics__s2,True,48,44,0.772727,0.795455,0.551849,0.0148649,0.010363,0.426546,0.334955,0.824159,0.309832,6.61637,0.344658,-0.236464,0,1
or-gemma-4-31b__W4096__T1__surreal__s1,False,42,38,0.315789,0.131579,0.915813,0.217391,0,0.363636,0.123248,0.87748,0.429164,5.71449,0.264309,0.146113,0,0
or-gemma-4-31b__W4096__T1__surreal__s2,False,48,44,0.25,0.409091,0.878383,0.751381,0,0.0334448,0.0650299,0.1856,0.412496,5.52079,0.227794,-0.253363,0,0
or-gpt-oss-120b__W4096__T0p3__physics__s1,True,47,43,0.139535,1,0.177756,0,0.104143,0.981343,0.0698773,0.198962,0.444512,7.17765,0.467497,0.0030463,1,2
or-gpt-oss-120b__W4096__T0p3__physics__s2,True,47,43,0.930233,0.953488,0.187043,0.0020202,0.652858,0.978304,0.147766,0.270876,0.37086,6.70313,0.417518,-0.0288777,1,3
or-gpt-oss-120b__W4096__T0p3__surreal__s1,True,47,43,0.0232558,0.767442,0.287539,0,0.735273,0.981261,0.0327003,0.0987868,0.518861,7.60426,0.498732,0.014721,1,2
or-gpt-oss-120b__W4096__T0p3__surreal__s2,True,47,43,0.162791,0.930233,0.29609,0,0.123225,0.928455,0.0552946,0.201058,0.479365,7.39208,0.467307,0.00808412,1,2
or-gpt-oss-120b__W4096__T1__physics__s1,True,47,43,0.953488,0.953488,0.309626,0.00635593,0.166245,0.849315,0.146008,0.231884,0.381114,6.72211,0.425695,0.0157455,1,3
or-gpt-oss-120b__W4096__T1__physics__s2,True,47,43,0.0697674,0.976744,0.179154,0,0.676132,0.979167,0.045765,0.143701,0.554241,7.6499,0.509225,0.00251658,1,2
or-gpt-oss-120b__W4096__T1__surreal__s1,True,47,43,0.116279,0.651163,0.507315,0.0221914,0.279929,0.818482,0.0456152,0.204698,0.491912,7.45303,0.479179,-0.00174543,1,2
or-gpt-oss-120b__W4096__T1__surreal__s2,True,47,43,0.0232558,0.744186,0.363462,0,0.614809,0.948207,0.0425456,0.104065,0.515279,7.42777,0.477343,0.00282231,1,2
or-gpt-oss-20b__W4096__T0p3__physics__s1,False,1,1,0,0,1,1,,,0.0460251,0.0460251,0.410292,7.17394,0.430997,0,0,0
or-gpt-oss-20b__W4096__T0p3__physics__s2,True,4,4,1,0.75,0.25,0,,,0.908772,0.99021,0.0436806,3.04232,0.0524917,-2.49837,0,1
or-gpt-oss-20b__W4096__T0p3__surreal__s1,True,8,4,1,0.75,0.244485,0,0.503521,1,0.95969,0.991184,0.0241242,3.35672,0.0342927,2.63703,1,3
or-gpt-oss-20b__W4096__T0p3__surreal__s2,True,1,1,1,0,1,1,,,0.580899,0.580899,0.17713,5.76728,0.20033,0,0,1
or-gpt-oss-20b__W4096__T1__physics__s1,True,6,2,0.5,0.5,0.865505,0.844353,,,0.117387,0.195373,0.38017,7.12277,0.43971,0,0,1
or-gpt-oss-20b__W4096__T1__physics__s2,True,12,8,0.625,0.875,0.470406,0.105,0.141382,0.331151,0.106602,0.266118,0.405459,7.26712,0.421395,0.151052,1,3
or-gpt-oss-20b__W4096__T1__surreal__s2,False,3,3,0,0,1,1,,,0.0187993,0.0462833,0.587114,8.02753,0.509363,-0.104656,0,0
or-muse-glimmer-30b__W4096__T0p3__physics__s1,True,48,44,1,1,0.00514763,0,1,1,0.320107,0.32244,0.26608,6.59597,0.283358,0.000323207,1,3
or-muse-glimmer-30b__W4096__T0p3__physics__s2,True,48,44,1,1,0.00961788,0,1,1,0.387815,0.39337,0.263775,6.6869,0.269617,-3.85709e-06,1,3
or-muse-glimmer-30b__W4096__T0p3__surreal__s1,False,1,1,0,0,1,1,,,0.0492721,0.0492721,0.421229,7.26371,0.430928,0,0,0
or-muse-glimmer-30b__W4096__T0p3__surreal__s2,False,1,1,0,0,1,1,,,0.0664376,0.0664376,0.323429,6.81003,0.398973,0,0,0
or-muse-glimmer-30b__W4096__T1__physics__s1,False,11,7,0.142857,0.142857,0.88441,0.45,0.00280308,0.015691,0.0520254,0.139535,0.393828,7.1296,0.443857,-0.438196,0,0
or-muse-glimmer-30b__W4096__T1__physics__s2,True,6,2,1,0,0.972458,0.959807,,,0.10642,0.118943,0.366132,6.91055,0.412951,0,0,1
or-muse-glimmer-30b__W4096__T1__surreal__s1,False,1,1,0,0,1,1,,,0.0220418,0.0220418,0.415509,7.29314,0.455645,0,0,0
or-muse-glimmer-30b__W4096__T1__surreal__s2,False,1,1,0,0,1,1,,,0.031106,0.031106,0.381609,7.18254,0.44549,0,0,0
or-qwen3-8b__W4096__T0p3__physics__s1,True,22,18,0.222222,0.888889,0.199543,0,0.626632,1,0.0638396,0.200622,0.468725,7.48221,0.440718,-0.0681825,1,2
or-qwen3-8b__W4096__T0p3__physics__s2,True,20,16,1,1,0.232618,0,0.447337,0.907376,0.3487,0.651842,0.315244,6.97035,0.302656,-0.0443151,1,3
or-qwen3-8b__W4096__T0p3__surreal__s1,False,4,4,0.25,0.5,0.610924,0,,,0.0665096,0.10093,0.41489,7.24607,0.433761,-0.0169277,0,0
or-qwen3-8b__W4096__T0p3__surreal__s2,True,11,7,0.142857,1,0.340886,0.0310559,0.0997766,0.939759,0.0642417,0.206771,0.42278,7.31022,0.424369,-0.030672,1,2
or-qwen3-8b__W4096__T1__physics__s1,True,23,19,0.105263,0.736842,0.408513,0.00168919,0.22176,0.994854,0.0450103,0.163511,0.534458,7.71908,0.466602,0.0449063,1,2
or-qwen3-8b__W4096__T1__physics__s2,True,8,4,0.75,1,0.642938,0.488189,0.0979261,0.231325,0.171865,0.220137,0.406712,7.29434,0.380948,-0.373992,1,3
or-qwen3-8b__W4096__T1__surreal__s1,True,48,44,0.659091,0.772727,0.675025,0.228464,0.0477038,0.422943,0.14733,0.358108,0.323531,6.96894,0.385549,-0.0703214,1,3
or-qwen3-8b__W4096__T1__surreal__s2,True,48,44,0.772727,0.727273,0.683042,0,0.0640241,1,0.20458,0.546717,0.31095,6.93851,0.362077,-0.0685262,1,3
