trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-gemma-4-31b__W4096__T0p3__physics__s1,physics,or-gemma-4-31b,0.3,1,4096,48,44,0.116454,0.0838039,0.404058,0.450794,0.425525,0.0163681,0.986968,0.63689,1.49796,0,0.372384,0.0496829,0.87234,3.41667,8,4.38462,12,True,48,44,0.977273,0.863636,0.417521,0,0.0078974,1,0.557,0.932806,0.198337,5.66227,0.212633,-0.0629335,0,1
or-gemma-4-31b__W4096__T0p3__physics__s2,physics,or-gemma-4-31b,0.3,2,4096,48,44,0.193301,0.116097,0.460116,0.539685,0.34774,0.00857451,0.994603,0.856145,1.99402,0,0.602393,0.0496829,0.723404,2.83333,5,3.63333,12,True,48,44,0.681818,0.454545,0.731021,0,0,0.323454,0.322886,0.995935,0.286628,5.61133,0.287865,-0.0535492,0,1
or-gemma-4-31b__W4096__T0p3__surreal__s1,surreal,or-gemma-4-31b,0.3,1,4096,48,44,0.197525,0.0499333,0.455225,0.395197,0.108993,0.0118669,0.90433,0.531118,2.4172,0,0.574257,0.0496829,0.382979,2.25,3,2.74194,8,False,48,44,0.0454545,0.113636,0.939449,0.363636,0,0.0202703,0.0251543,0.125,0.653872,4.85985,0.129203,0.139784,0,0
or-gemma-4-31b__W4096__T0p3__surreal__s2,surreal,or-gemma-4-31b,0.3,2,4096,48,44,0.184818,0.0750394,0.415155,0.431112,0.146367,0.010387,0.956989,0.51287,3.04073,0,0.521947,0.0496829,0.468085,2.75,5,3.92308,8,False,48,44,0.295455,0.272727,0.87557,0.203846,0,0.442897,0.0665908,0.310769,0.499328,4.90052,0.167004,-0.0641126,0,0
or-gemma-4-31b__W4096__T1__physics__s1,physics,or-gemma-4-31b,1,1,4096,48,44,0.126883,0.0424552,0.314248,0.397943,0.291324,0.0224889,0.949504,0.498116,3.35771,0,0.466068,0.0496829,0.680851,3.2,5,3.31034,10,True,48,44,0.772727,0.863636,0.567037,0,0.00462107,1,0.20654,0.489533,0.374384,6.91402,0.379464,-0.104536,0,1
or-gemma-4-31b__W4096__T1__physics__s2,physics,or-gemma-4-31b,1,2,4096,48,44,0.118723,0.0575414,0.308661,0.474298,0.352543,0.00673368,0.996755,0.544248,5.54614,0,0.440841,0.0496829,0.808511,2.53333,4,3.35294,15,True,48,44,0.772727,0.795455,0.551849,0.0148649,0.010363,0.426546,0.334955,0.824159,0.309832,6.61637,0.344658,-0.236464,0,1
or-gemma-4-31b__W4096__T1__surreal__s1,surreal,or-gemma-4-31b,1,1,4096,42,38,0.210224,0.109199,0.436349,0.369638,0.29824,0.011242,0.990228,0.804068,2.72055,0,0.576978,0.0497866,0.485714,2.42857,3,2.84,7,False,42,38,0.315789,0.131579,0.915813,0.217391,0,0.363636,0.123248,0.87748,0.429164,5.71449,0.264309,0.146113,0,0
or-gemma-4-31b__W4096__T1__surreal__s2,surreal,or-gemma-4-31b,1,2,4096,48,44,0.177287,0.113812,0.389826,0.401934,0.11458,0.0131561,0.89473,0.479634,3.61357,0,0.457168,0.0496829,0.723404,3.4,7,4.68421,10,False,48,44,0.25,0.409091,0.878383,0.751381,0,0.0334448,0.0650299,0.1856,0.412496,5.52079,0.227794,-0.253363,0,0
or-gpt-oss-120b__W4096__T0p3__physics__s1,physics,or-gpt-oss-120b,0.3,1,4096,47,43,0.075542,0.0367179,0.204379,0.25197,0.286863,0.00989601,0.990637,0.294911,1.91314,0,0.33615,0.0498339,0.533333,2.4,4,2.68571,10,True,47,43,0.139535,1,0.177756,0,0.104143,0.981343,0.0698773,0.198962,0.444512,7.17765,0.467497,0.0030463,1,2
or-gpt-oss-120b__W4096__T0p3__physics__s2,physics,or-gpt-oss-120b,0.3,2,4096,47,43,0.0860793,0.0763595,0.297292,0.312047,0.175554,0.0127342,0.95989,0.250659,3.16876,0,0.328165,0.0498339,0.6,4.5,8,3.53571,6,True,47,43,0.930233,0.953488,0.187043,0.0020202,0.652858,0.978304,0.147766,0.270876,0.37086,6.70313,0.417518,-0.0288777,1,3
