trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-gemma-4-31b__W4096__T0p3__physics__s1,physics,or-gemma-4-31b,0.3,1,4096,48,44,0.0973964,0.0936482,0.660126,0.762201,0.568536,0.013018,0.995343,0.754379,2.02367,0,0.354191,0.0496829,0.829787,3.54545,7,4.44444,11,True,48,44,0.977273,0.863636,0.417521,0,0.0078974,1,0.557,0.932806,0.198337,5.66227,0.212633,-0.0629335,0,1
or-gemma-4-31b__W4096__T0p3__physics__s2,physics,or-gemma-4-31b,0.3,2,4096,48,44,0.162211,0.123956,0.709481,0.884023,0.503331,0.00576497,0.998831,1.07501,1.29243,0,0.513438,0.0496829,0.723404,2.83333,6,3.42424,12,True,48,44,0.681818,0.454545,0.731021,0,0,0.323454,0.322886,0.995935,0.286628,5.61133,0.287865,-0.0535492,0,1
or-gemma-4-31b__W4096__T0p3__surreal__s1,surreal,or-gemma-4-31b,0.3,1,4096,48,44,0.250784,0.0673935,0.614101,0.630856,0.133987,0.01298,0.92272,0.719319,2.24123,0,0.662949,0.0496829,0.468085,2.44444,4,2.86667,9,False,48,44,0.0454545,0.113636,0.939449,0.363636,0,0.0202703,0.0251543,0.125,0.653872,4.85985,0.129203,0.139784,0,0
or-gemma-4-31b__W4096__T0p3__surreal__s2,surreal,or-gemma-4-31b,0.3,2,4096,48,44,0.202399,0.113722,0.630841,0.661857,0.166156,0.00850702,0.977141,0.599289,2.94913,0,0.533261,0.0496829,0.510638,3.42857,6,3.77273,7,False,48,44,0.295455,0.272727,0.87557,0.203846,0,0.442897,0.0665908,0.310769,0.499328,4.90052,0.167004,-0.0641126,0,0
or-gemma-4-31b__W4096__T1__physics__s1,physics,or-gemma-4-31b,1,1,4096,48,44,0.068318,0.0368399,0.334861,0.634862,0.440666,0.0247745,0.972566,0.384993,2.10692,0,0.320552,0.0496829,0.680851,4.57143,5,3.74074,7,True,48,44,0.772727,0.863636,0.567037,0,0.00462107,1,0.20654,0.489533,0.374384,6.91402,0.379464,-0.104536,0,1
or-gemma-4-31b__W4096__T1__physics__s2,physics,or-gemma-4-31b,1,2,4096,48,44,0.0753362,0.0429293,0.348371,0.541571,0.501494,0.0216939,0.983574,0.463845,4.35904,0,0.330084,0.0496829,0.808511,3.16667,6,4.33333,12,True,48,44,0.772727,0.795455,0.551849,0.0148649,0.010363,0.426546,0.334955,0.824159,0.309832,6.61637,0.344658,-0.236464,0,1
or-gemma-4-31b__W4096__T1__surreal__s1,surreal,or-gemma-4-31b,1,1,4096,42,38,0.171042,0.0909143,0.638489,0.607253,0.397016,0.0178075,0.98622,0.81748,1.76639,0,0.516045,0.0497866,0.485714,4.25,11,2.74074,4,False,42,38,0.315789,0.131579,0.915813,0.217391,0,0.363636,0.123248,0.87748,0.429164,5.71449,0.264309,0.146113,0,0
or-gemma-4-31b__W4096__T1__surreal__s2,surreal,or-gemma-4-31b,1,2,4096,48,44,0.158795,0.137146,0.548376,0.611329,0.183609,0.0150784,0.94323,0.518174,2.19743,0,0.417771,0.0496829,0.765957,4.5,9,5.31579,8,False,48,44,0.25,0.409091,0.878383,0.751381,0,0.0334448,0.0650299,0.1856,0.412496,5.52079,0.227794,-0.253363,0,0
or-gpt-oss-120b__W4096__T0p3__physics__s1,physics,or-gpt-oss-120b,0.3,1,4096,47,43,0.0438505,0.0385977,0.236347,0.260037,0.485851,0.0133666,0.994025,0.268182,1.84096,0,0.212339,0.0498339,0.688889,3.1,7,3.64286,10,True,47,43,0.139535,1,0.177756,0,0.104143,0.981343,0.0698773,0.198962,0.444512,7.17765,0.467497,0.0030463,1,2
or-gpt-oss-120b__W4096__T0p3__physics__s2,physics,or-gpt-oss-120b,0.3,2,4096,47,43,0.0627513,0.0876434,0.409624,0.428455,0.257856,0.0212231,0.948947,0.222694,3.03095,0,0.221942,0.0498339,0.622222,4,8,4,7,True,47,43,0.930233,0.953488,0.187043,0.0020202,0.652858,0.978304,0.147766,0.270876,0.37086,6.70313,0.417518,-0.0288777,1,3
