generator,quarter,block_fill,block_fill_ci_low,block_fill_ci_high,stop_rate,stop_rate_ci_low,stop_rate_ci_high,n_trajectories
or-gemma-4-31b,1,0.215262,0.139866,0.313029,0.989215,0.977169,1,8
or-gemma-4-31b,2,0.176214,0.080847,0.284735,0.945929,0.88013,0.99569,8
or-gemma-4-31b,3,0.207832,0.064945,0.373829,0.851146,0.652546,0.994186,8
or-gemma-4-31b,4,0.272657,0.132015,0.493415,0.826747,0.580912,0.967777,8
or-gpt-oss-120b,1,0.994375,0.983125,1,0.00961538,0,0.0288462,8
or-gpt-oss-120b,2,1,1,1,0,0,0,8
or-gpt-oss-120b,3,0.995288,0.985865,1,0.00961538,0,0.0288462,8
or-gpt-oss-120b,4,1,1,1,0,0,0,8
or-gpt-oss-20b,1,0.975625,0.926875,1,0.125,0,0.375,8
or-gpt-oss-20b,2,0.921429,0.764286,1,0.142857,0,0.428571,7
or-gpt-oss-20b,3,0.720286,0.4394,1,0.285714,0,0.714286,7
or-gpt-oss-20b,4,0.504333,0.2732,0.703467,0.766667,0.5,1,5
or-muse-glimmer-30b,1,0.994656,0.983969,1,0.03125,0,0.09375,8
or-muse-glimmer-30b,2,0.8876,0.6628,1,0.2,0,0.6,5
or-muse-glimmer-30b,3,0.695625,0.404244,0.948325,0.5,0.125,0.875,8
or-muse-glimmer-30b,4,0.695875,0.39175,1,0.416667,0,0.833333,4
or-qwen3-8b,1,0.828983,0.703532,0.94953,0.440304,0.208333,0.685096,8
or-qwen3-8b,2,0.764221,0.607181,0.903981,0.666667,0.333333,1,8
or-qwen3-8b,3,0.740121,0.567834,0.905719,0.5625,0.25,0.875,8
or-qwen3-8b,4,0.645311,0.455098,0.848096,0.596708,0.245,0.869565,8
