generator,temperature,rate,ci_low,ci_high,n,n_positive,method,k_over_n
or-gemma-4-31b,0.3,0,0,0.602365,4,0,clopper_pearson,0/4
or-gemma-4-31b,1,0,0,0.602365,4,0,clopper_pearson,0/4
or-gpt-oss-120b,0.3,1,0.397635,1,4,4,clopper_pearson,4/4
or-gpt-oss-120b,1,1,0.397635,1,4,4,clopper_pearson,4/4
or-gpt-oss-20b,0.3,0.25,0.00630946,0.80588,4,1,clopper_pearson,1/4
or-gpt-oss-20b,1,0.333333,0.00840376,0.905701,3,1,clopper_pearson,1/3
or-muse-glimmer-30b,0.3,0.5,0.067586,0.932414,4,2,clopper_pearson,2/4
or-muse-glimmer-30b,1,0,0,0.602365,4,0,clopper_pearson,0/4
or-qwen3-8b,0.3,0.75,0.19412,0.993691,4,3,clopper_pearson,3/4
or-qwen3-8b,1,1,0.397635,1,4,4,clopper_pearson,4/4
