trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W8192__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,8192,95,87,0.0775685,0.0336871,0.265619,0.312284,0.0354803,0.0409983,0.0381787,0.220037,7.09535,0,0.302059,0.0499866,0.636364,5.40909,34,2.13636,22,True,0.885057,0.988506,0.0302506,0,1,1,0.117833,0.303716,0.495258,7.66014,0.444786,0.011103,1,3
or-qwen3-8b__W8192__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,8192,96,88,0.0140797,0.0301488,0.222128,0.239588,0.318731,0.0118533,0.973281,0.0788137,8.49304,0,2.10734e-08,0.00574713,0.727273,3.2,5,4.33333,5,True,0.909091,1,0.0038115,0,1,1,0.122315,0.191582,0.42947,7.32797,0.409607,-0.00862582,1,3
or-qwen3-8b__W8192__T0p3__surreal__s1,surreal,or-qwen3-8b,0.3,1,8192,96,88,0.00284057,0.0109734,0.156297,0.165458,0.751638,0.0155528,0.991573,0.0622632,1.35199,0,0,0,0,0,0,0,0,True,0,1,0.0254211,0,1,1,0.058553,0.0708861,0.406973,7.22916,0.438695,-0.0211503,1,2
or-qwen3-8b__W8192__T0p3__surreal__s2,surreal,or-qwen3-8b,0.3,2,8192,96,88,0.0389614,0.0253563,0.179296,0.185049,0.175763,0.00961369,0.943943,0.121017,2.82927,0,0.224277,0.0496343,0.547368,2.4186,6,3.22,43,True,0.988636,1,0.0163514,0,0.839806,1,0.194539,0.774044,0.364274,7.1226,0.378605,0.0255895,1,3
or-qwen3-8b__W8192__T0p7__physics__s1,physics,or-qwen3-8b,0.7,1,8192,96,88,0.045499,0.060014,0.112721,0.136969,0.267939,0.0113285,0.965732,0.200233,5.80488,0,0.179508,0.0498955,0.753927,2.93878,6,3.9375,49,True,0.181818,1,0.0568417,0,0.664843,1,0.0770558,0.266886,0.477009,7.46009,0.443023,0.00249778,1,2
or-qwen3-8b__W8192__T0p7__physics__s2,physics,or-qwen3-8b,0.7,2,8192,96,88,0.0425183,0.04296,0.237226,0.336431,0.256503,0.00964464,0.972702,0.195356,8.89671,0,0.130423,0.0498955,0.858639,4,10,4.78313,41,True,0.659091,1,0.108008,0,0.755889,1,0.108703,0.562753,0.463336,7.39152,0.425517,0.0109537,1,3
or-qwen3-8b__W8192__T0p7__surreal__s1,surreal,or-qwen3-8b,0.7,1,8192,96,88,0.0474349,0.0288115,0.223922,0.266182,0.140383,0.00786655,0.941327,0.140837,12.1608,0,0.25734,0.0498955,0.727749,3.30952,9,4.17391,42,True,0.988636,0.977273,0.0982074,0,0.557025,1,0.393107,0.530061,0.263385,6.93684,0.287512,-0.0028663,1,3
or-qwen3-8b__W8192__T0p7__surreal__s2,surreal,or-qwen3-8b,0.7,2,8192,95,87,0.0740727,0.0312881,0.277959,0.329608,0.172861,0.0261743,0.698038,0.303946,1.67164,0,0.32989,0.0499866,0.764706,4.76667,41,2.34815,30,True,0.793103,0.965517,0.19355,0,0.00780031,1,0.10864,0.320463,0.425278,7.412,0.446192,-0.00591552,0,1
or-qwen3-8b__W8192__T1__physics__s1,physics,or-qwen3-8b,1,1,8192,96,88,0.0352523,0.0492336,0.180542,0.180286,0.108624,0.00867051,0.887728,0.100463,9.67849,0,0.0638458,0.0496343,0.836842,3.87805,13,5.86364,41,True,0.0227273,1,0.140283,0,0.979695,1,0.0282052,0.168142,0.580835,7.96068,0.457443,0.00260593,1,2
or-qwen3-8b__W8192__T1__physics__s2,physics,or-qwen3-8b,1,2,8192,96,88,0.0475678,0.0272349,0.20307,0.252167,0.173454,0.0108217,0.928278,0.147088,9.19849,0,0.206838,0.0498955,0.502618,3,9,2.71429,32,True,0.988636,1,0.104521,0,0.224806,1,0.715852,0.894928,0.171899,6.43536,0.151633,0.0218183,1,3
or-qwen3-8b__W8192__T1__surreal__s1,surreal,or-qwen3-8b,1,1,8192,96,88,0.0893913,0.0277634,0.357652,0.407237,0.0847313,0.0128548,0.686401,0.221154,4.34295,0,0.354789,0.0498955,0.408377,2.16667,4,2.47126,36,True,0.772727,0.943182,0.398557,0,0.216655,0.998624,0.135339,0.315385,0.358352,7.1721,0.403051,-0.0146865,1,3
or-qwen3-8b__W8192__T1__surreal__s2,surreal,or-qwen3-8b,1,2,8192,96,88,0.0788123,0.0221394,0.280398,0.325658,0.102439,0.00793903,0.893477,0.212124,2.46836,0,0.346001,0.0498955,0.356021,2.19355,4,2.48276,31,True,0.886364,0.977273,0.333077,0,0.144974,0.869742,0.161594,0.629854,0.313749,6.88931,0.391382,-0.00399574,1,3
or-qwen3-8b__W8192__T1p5__physics__s1,physics,or-qwen3-8b,1.5,1,8192,95,87,0.140974,0.051777,0.382829,0.451487,0.206651,0.0109716,0.949502,0.520248,2.48307,0,0.478018,0.0499866,0.545455,2.55,9,3.32609,40,False,0.0114943,0,0.965454,0.886885,0,0.050791,0.0287681,0.0963303,0.499648,7.78368,0.504086,-0.0239968,0,0
or-qwen3-8b__W8192__T1p5__physics__s2,physics,or-qwen3-8b,1.5,2,8192,96,88,0.107482,0.0240057,0.244737,0.339858,0.178068,0.017532,0.838632,0.352473,1.67556,0,0.422681,0.0498955,0.429319,2.48485,4,2.7449,33,True,0.431818,0.568182,0.813392,0.443478,0.0228684,0.21875,0.120988,0.619048,0.496447,7.51713,0.422808,-0.137683,1,2
or-qwen3-8b__W8192__T1p5__surreal__s1,surreal,or-qwen3-8b,1.5,1,8192,96,88,0.0729605,0.062141,0.229412,0.289614,0.225353,0.00963018,0.965019,0.290197,7.07438,0,0.230363,0.0498955,0.890052,4.59459,18,6.40323,37,True,0,0.579545,0.52331,0,0.122938,1,0.0182289,0.0461538,0.482709,7.74992,0.467453,0.00657216,1,2
or-qwen3-8b__W8192__T1p5__surreal__s2,surreal,or-qwen3-8b,1.5,2,8192,95,87,0.0883918,0.0167857,0.37594,0.442374,0.0859006,0.0123092,0.720763,0.231723,5.14639,0,0.381033,0.0499866,0.304813,2.11111,4,2.62338,27,False,0.0114943,0.0229885,0.927934,0.597143,0.00263507,0.0132312,0.0393155,0.0863402,0.348423,7.23023,0.431538,-0.00752438,0,0
