trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W8192__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,8192,95,87,0.0303848,0.0287726,0.312474,0.349475,0.128177,0.0399385,0.353134,0.125664,4.6595,0,0.177743,0.0499866,0.636364,3.4,9,2.30841,35,True,0.885057,0.988506,0.0302506,0,1,1,0.117833,0.303716,0.495258,7.66014,0.444786,0.011103,1,3
or-qwen3-8b__W8192__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,8192,96,88,0.00784322,0.0178046,0.251192,0.264109,0.419469,0.0153791,0.974012,0.0561651,3.78698,0,2.10734e-08,0.0109718,0.880952,3.7,7,5.2,10,True,0.909091,1,0.0038115,0,1,1,0.122315,0.191582,0.42947,7.32797,0.409607,-0.00862582,1,3
or-qwen3-8b__W8192__T0p3__surreal__s1,surreal,or-qwen3-8b,0.3,1,8192,96,88,0.0020537,0.00742854,0.0888012,0.0880112,0.789484,0.0138585,0.993921,0.0532231,1.74644,0,2.58096e-08,0.0180251,0.826087,3,5,4.5,19,True,0,1,0.0254211,0,1,1,0.058553,0.0708861,0.406973,7.22916,0.438695,-0.0211503,1,2
or-qwen3-8b__W8192__T0p3__surreal__s2,surreal,or-qwen3-8b,0.3,2,8192,96,88,0.0294905,0.0233399,0.13891,0.128204,0.228985,0.0141463,0.929578,0.105262,1.87313,0,0.17084,0.0498955,0.659686,2.86364,7,3.35556,44,True,0.988636,1,0.0163514,0,0.839806,1,0.194539,0.774044,0.364274,7.1226,0.378605,0.0255895,1,3
or-qwen3-8b__W8192__T0p7__physics__s1,physics,or-qwen3-8b,0.7,1,8192,96,88,0.0279436,0.031423,0.126903,0.126772,0.322358,0.0124091,0.971426,0.141893,7.58836,0,0.184553,0.0498955,0.727749,3.08889,6,4.18605,45,True,0.181818,1,0.0568417,0,0.664843,1,0.0770558,0.266886,0.477009,7.46009,0.443023,0.00249778,1,2
or-qwen3-8b__W8192__T0p7__physics__s2,physics,or-qwen3-8b,0.7,2,8192,96,88,0.0276819,0.0299654,0.307457,0.409892,0.336599,0.0085463,0.987365,0.16569,5.57312,0,0.127237,0.0498955,0.827225,3.43478,7,4.69512,46,True,0.659091,1,0.108008,0,0.755889,1,0.108703,0.562753,0.463336,7.39152,0.425517,0.0109537,1,3
or-qwen3-8b__W8192__T0p7__surreal__s1,surreal,or-qwen3-8b,0.7,1,8192,96,88,0.0219352,0.016526,0.169659,0.202989,0.21218,0.00826499,0.970762,0.0886298,4.05848,0,0.166604,0.0496343,0.684211,2.82609,6,3.2,46,True,0.988636,0.977273,0.0982074,0,0.557025,1,0.393107,0.530061,0.263385,6.93684,0.287512,-0.0028663,1,3
or-qwen3-8b__W8192__T0p7__surreal__s2,surreal,or-qwen3-8b,0.7,2,8192,95,87,0.0319531,0.0246987,0.202095,0.301929,0.280391,0.0279449,0.84217,0.183172,13.892,0,0.164511,0.0499866,0.855615,5,24,2.83333,32,True,0.793103,0.965517,0.19355,0,0.00780031,1,0.10864,0.320463,0.425278,7.412,0.446192,-0.00591552,0,1
or-qwen3-8b__W8192__T1__physics__s1,physics,or-qwen3-8b,1,1,8192,96,88,0.0193337,0.0315473,0.265761,0.272114,0.168895,0.0112348,0.919259,0.0652168,8.94314,0,0.0322335,0.0491118,0.819149,4.05263,13,5.95312,38,True,0.0227273,1,0.140283,0,0.979695,1,0.0282052,0.168142,0.580835,7.96068,0.457443,0.00260593,1,2
or-qwen3-8b__W8192__T1__physics__s2,physics,or-qwen3-8b,1,2,8192,96,88,0.0211661,0.011753,0.253267,0.306393,0.327203,0.0170525,0.948844,0.0984999,5.48907,0,0.130072,0.0498955,0.492147,2.47368,7,2.08333,38,True,0.988636,1,0.104521,0,0.224806,1,0.715852,0.894928,0.171899,6.43536,0.151633,0.0218183,1,3
or-qwen3-8b__W8192__T1__surreal__s1,surreal,or-qwen3-8b,1,1,8192,96,88,0.0687066,0.0333683,0.328007,0.53286,0.0973137,0.00898137,0.855374,0.185297,4.26063,0,0.280125,0.0498955,0.413613,2.25714,4,2.58763,35,True,0.772727,0.943182,0.398557,0,0.216655,0.998624,0.135339,0.315385,0.358352,7.1721,0.403051,-0.0146865,1,3
or-qwen3-8b__W8192__T1__surreal__s2,surreal,or-qwen3-8b,1,2,8192,96,88,0.0447944,0.0161319,0.345541,0.456894,0.192405,0.0134807,0.91121,0.160606,1.89781,0,0.274539,0.0498955,0.528796,2.65789,5,3.13187,38,True,0.886364,0.977273,0.333077,0,0.144974,0.869742,0.161594,0.629854,0.313749,6.88931,0.391382,-0.00399574,1,3
or-qwen3-8b__W8192__T1p5__physics__s1,physics,or-qwen3-8b,1.5,1,8192,95,87,0.0936159,0.0462703,0.461794,0.563555,0.321878,0.0169082,0.950514,0.501027,3.0545,0,0.369927,0.0499866,0.705882,3.47368,17,3.96629,38,False,0.0114943,0,0.965454,0.886885,0,0.050791,0.0287681,0.0963303,0.499648,7.78368,0.504086,-0.0239968,0,0
or-qwen3-8b__W8192__T1p5__physics__s2,physics,or-qwen3-8b,1.5,2,8192,96,88,0.0696982,0.0257607,0.239923,0.398579,0.348711,0.0330762,0.848472,0.363322,4.40973,0,0.329483,0.0498955,0.633508,3.55882,10,4.02532,34,True,0.431818,0.568182,0.813392,0.443478,0.0228684,0.21875,0.120988,0.619048,0.496447,7.51713,0.422808,-0.137683,1,2
or-qwen3-8b__W8192__T1p5__surreal__s1,surreal,or-qwen3-8b,1.5,1,8192,96,88,0.0485075,0.043787,0.259909,0.357118,0.321575,0.0174242,0.944932,0.247407,6.06864,0,0.183826,0.0498955,0.816754,4,18,5.81818,39,True,0,0.579545,0.52331,0,0.122938,1,0.0182289,0.0461538,0.482709,7.74992,0.467453,0.00657216,1,2
or-qwen3-8b__W8192__T1p5__surreal__s2,surreal,or-qwen3-8b,1.5,2,8192,95,87,0.0715931,0.0191732,0.475748,0.586133,0.172182,0.0223318,0.759079,0.236578,1.36935,0,0.344117,0.0499866,0.336898,2.33333,4,2.60638,27,False,0.0114943,0.0229885,0.927934,0.597143,0.00263507,0.0132312,0.0393155,0.0863402,0.348423,7.23023,0.431538,-0.00752438,0,0
