trajectory_id,degenerate,n_chunks,n_chunks_post_horizon,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode,generator,W,temperature,semantic_seed,stochastic_seed,source,generation_run_id
or-qwen3-8b__W4096__T0p3__physics__s1,True,47,43,0.418605,0.930233,0.119517,0,0.626105,1,0.0872532,0.200622,0.45658,7.43426,0.429889,-0.0158497,1,2,or-qwen3-8b,4096,0.3,physics,1,s2.2,s2-mechanism-20260901T071519Z-dfbb173a
or-qwen3-8b__W4096__T0p3__physics__s2,True,48,44,1,1,0.116997,0,0.909732,1,0.248789,0.653789,0.341059,7.02705,0.344209,0.0144321,1,3,or-qwen3-8b,4096,0.3,physics,2,s2.2,s2-mechanism-20260901T071519Z-dfbb173a
or-qwen3-8b__W4096__T0p3__surreal__s1,True,48,44,0.931818,0.977273,0.05808,0,1,1,0.16885,0.405694,0.328547,7.00886,0.38033,-0.00183561,1,3,or-qwen3-8b,4096,0.3,surreal,1,s2.2,s2-mechanism-20260901T071519Z-dfbb173a
or-qwen3-8b__W4096__T0p3__surreal__s2,True,48,44,0.818182,0.977273,0.155325,0,1,1,0.318832,0.669022,0.338301,7.19633,0.329723,0.012505,1,3,or-qwen3-8b,4096,0.3,surreal,2,s2.2,s2-mechanism-20260901T071519Z-dfbb173a
or-qwen3-8b__W4096__T0p7__physics__s1,True,47,43,0.0465116,0.976744,0.149304,0,0.750566,0.979695,0.0464721,0.212428,0.518256,7.57633,0.451168,0.0169499,1,2,or-qwen3-8b,4096,0.7,physics,1,s4.1,s4-w4096-new-temps-20260904T103121Z-589c8eb1
or-qwen3-8b__W4096__T0p7__physics__s2,True,47,43,0.674419,0.906977,0.212793,0,1,1,0.100933,0.178723,0.482598,7.51721,0.434907,-0.041485,1,3,or-qwen3-8b,4096,0.7,physics,2,s4.1,s4-w4096-new-temps-20260904T103121Z-589c8eb1
or-qwen3-8b__W4096__T0p7__surreal__s1,True,48,44,0.704545,0.954545,0.254384,0,0.106603,1,0.200195,0.511848,0.325669,7.02712,0.366588,-0.00278837,1,3,or-qwen3-8b,4096,0.7,surreal,1,s4.1,s4-w4096-new-temps-20260904T103121Z-589c8eb1
or-qwen3-8b__W4096__T0p7__surreal__s2,True,48,44,0.863636,0.931818,0.151098,0,0.280164,1,0.447199,0.663539,0.288502,7.03861,0.29113,-0.0593361,1,3,or-qwen3-8b,4096,0.7,surreal,2,s4.1,s4-w4096-new-temps-20260904T103121Z-589c8eb1
or-qwen3-8b__W4096__T1__physics__s1,True,48,44,0.181818,0.818182,0.447007,0.00168067,0.0172772,0.687023,0.0551742,0.270866,0.526361,7.734,0.471797,0.00269198,1,2,or-qwen3-8b,4096,1,physics,1,s2.2,s2-mechanism-20260901T071519Z-dfbb173a
or-qwen3-8b__W4096__T1__physics__s2,True,48,44,0.977273,0.977273,0.485761,0,0.121445,0.961538,0.542675,0.93314,0.235876,6.39265,0.227538,0.0196109,1,3,or-qwen3-8b,4096,1,physics,2,s2.2,s2-mechanism-20260901T071519Z-dfbb173a
