W,temperature,quarter,n_trajectories,block_fill,block_fill_ci_low,block_fill_ci_high,stop_rate,stop_rate_ci_low,stop_rate_ci_high
4096,0.3,1,4,0.775709,0.681412,0.911806,0.525813,0.276099,0.670387
4096,0.3,2,4,0.717486,0.502269,0.921538,0.579487,0.192308,0.966667
4096,0.3,3,4,0.815249,0.660857,0.953797,0.385817,0.078125,0.807692
4096,0.3,4,4,0.903304,0.753417,0.997933,0.275,0.0208333,0.729167
4096,0.7,1,4,0.842353,0.705332,0.979374,0.481215,0.181319,0.781111
4096,0.7,2,4,0.783557,0.534958,0.922754,0.582862,0.242647,0.923077
4096,0.7,3,4,0.731231,0.514462,0.948,0.75,0.25,1
4096,0.7,4,4,0.747359,0.542718,0.952,0.676652,0.205882,0.941538
4096,1,1,4,0.632466,0.300029,0.901082,0.668498,0.315476,0.907967
4096,1,2,4,0.517658,0.22175,0.85288,0.767857,0.303571,1
4096,1,3,4,0.440449,0.190484,0.712134,0.857143,0.571429,1
4096,1,4,4,0.43431,0.241048,0.650686,0.954344,0.931438,0.972464
4096,1.5,1,4,0.816263,0.63034,0.986372,0.40619,0.0666667,0.745714
4096,1.5,2,4,0.703606,0.48114,0.926071,0.613095,0.22619,1
4096,1.5,3,4,0.701137,0.486223,0.916051,0.702564,0.306026,1
4096,1.5,4,4,0.678586,0.5436,0.888238,0.712202,0.3,0.954167
8192,0.3,1,4,0.806075,0.603111,0.93264,0.459923,0.228889,0.653103
8192,0.3,2,4,0.925756,0.858473,0.99304,0.442069,0.112069,0.83
8192,0.3,3,4,0.978919,0.94954,0.99958,0.406207,0.0862069,0.82
8192,0.3,4,4,0.979843,0.951683,1,0.326592,0,0.721154
8192,0.7,1,4,0.809636,0.656593,0.942577,0.61582,0.262143,0.952381
8192,0.7,2,4,0.835427,0.605196,0.976508,0.568077,0.136154,1
8192,0.7,3,4,0.823284,0.621925,0.95222,0.589259,0.17675,1
8192,0.7,4,4,0.861337,0.738234,0.958935,0.52979,0.205926,0.828042
8192,1,1,4,0.644188,0.341757,0.902816,0.714236,0.311429,0.952939
8192,1,2,4,0.587698,0.241397,0.900265,0.75,0.25,1
8192,1,3,4,0.676299,0.273619,0.941015,0.717742,0.25,1
8192,1,4,4,0.74498,0.391625,0.981183,0.449815,0.05,0.84963
8192,1.5,1,4,0.714975,0.480316,0.918934,0.500583,0.177885,0.823282
8192,1.5,2,4,0.679414,0.505662,0.855113,0.630699,0.339353,0.890244
8192,1.5,3,4,0.594398,0.434826,0.856559,0.74117,0.272596,0.987805
8192,1.5,4,4,0.606991,0.397266,0.884613,0.70162,0.2375,0.965741
