source,embed_run_id,embedding,W,temperature,n_trajectories,last_band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs
s2.2,s2-embed-mechanism-20260901T131051Z-55761049,bge-m3,4096,0.3,4,12,0.215968,0.386867,0.170898,0.164125,0.177672,True,48,96
s2.2,s2-embed-mechanism-20260901T131051Z-55761049,bge-m3,4096,1,4,12,0.257453,0.580486,0.323033,0.300297,0.354235,True,96,192
s2.2,s2-embed-mechanism-20260901T131051Z-55761049,qwen3-embed-8b,4096,0.3,4,12,0.357028,0.73457,0.377542,0.374909,0.380174,True,48,96
s2.2,s2-embed-mechanism-20260901T131051Z-55761049,qwen3-embed-8b,4096,1,4,12,0.367575,0.856315,0.48874,0.452094,0.54774,True,96,192
s4.1,s4-embed-w4096-new-temps-20260904T120202Z-37e61e58,bge-m3,4096,0.7,4,10,0.269661,0.43376,0.164099,0.0786879,0.275072,True,760,1504
s4.1,s4-embed-w4096-new-temps-20260904T120202Z-37e61e58,bge-m3,4096,1.5,4,12,0.149953,0.531031,0.381078,0.379067,0.383089,True,48,96
s4.1,s4-embed-w4096-new-temps-20260904T120202Z-37e61e58,qwen3-embed-8b,4096,0.7,4,10,0.324868,0.7865,0.461633,0.360541,0.556985,True,760,1504
s4.1,s4-embed-w4096-new-temps-20260904T120202Z-37e61e58,qwen3-embed-8b,4096,1.5,4,12,0.15096,0.840714,0.689754,0.684285,0.695224,True,48,96
s4.2,s4-embed-w8192-20260905T090901Z-15172d14,bge-m3,8192,0.3,4,12,0.155115,0.410693,0.255578,0.249455,0.261701,True,96,192
s4.2,s4-embed-w8192-20260905T090901Z-15172d14,bge-m3,8192,0.7,4,12,0.310427,0.516886,0.206459,0.204782,0.208136,True,96,192
s4.2,s4-embed-w8192-20260905T090901Z-15172d14,bge-m3,8192,1,4,12,0.188931,0.52307,0.334139,0.262785,0.386388,True,192,384
s4.2,s4-embed-w8192-20260905T090901Z-15172d14,bge-m3,8192,1.5,4,10,0.416261,0.52793,0.111669,0.0224188,0.224339,True,2961,6017
s4.2,s4-embed-w8192-20260905T090901Z-15172d14,qwen3-embed-8b,8192,0.3,4,12,0.119066,0.812782,0.693716,0.692869,0.694562,True,96,192
s4.2,s4-embed-w8192-20260905T090901Z-15172d14,qwen3-embed-8b,8192,0.7,4,12,0.308345,0.853374,0.545029,0.53849,0.551569,True,96,192
s4.2,s4-embed-w8192-20260905T090901Z-15172d14,qwen3-embed-8b,8192,1,4,12,0.304796,0.861252,0.556455,0.422494,0.670818,True,192,384
s4.2,s4-embed-w8192-20260905T090901Z-15172d14,qwen3-embed-8b,8192,1.5,4,10,0.533504,0.780481,0.246977,0.203045,0.321473,True,2961,6017
