trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks,n_chunks_post_horizon,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,too_short_for_msd,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode,source,embedding,n_chunks_x,n_chunks_post_horizon_x,n_chunks_y,n_chunks_post_horizon_y
or-qwen3-8b__W4096__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,4096,,,0.105571,0.0932733,0.148746,0.135069,0.143618,0.0326272,0.709282,0.280094,3.00013,0,0.229585,0.0498339,0.644444,2.9,6,2.96154,10,True,0.418605,0.930233,0.119517,0,0.626105,1,0.0872532,0.200622,0.45658,7.43426,0.429889,-0.0158497,1,2,s2.2,bge-m3,47,43,47,43
or-qwen3-8b__W4096__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,4096,,,0.0424153,0.0408684,0.250307,0.259356,0.194662,0.0168216,0.937522,0.143322,6.30011,0,0.0850891,0.0496829,0.787234,4.625,7,3.84615,8,True,1,1,0.116997,0,0.909732,1,0.248789,0.653789,0.341059,7.02705,0.344209,0.0144321,1,3,s2.2,bge-m3,48,44,48,44
or-qwen3-8b__W4096__T0p3__surreal__s1,surreal,or-qwen3-8b,0.3,1,4096,,,0.0187575,0.0366917,0.223084,0.230897,0.194643,0.0138741,0.956624,0.0604945,8.10164,0,1.49012e-08,0.00317125,0,0,0,0,0,True,0.931818,0.977273,0.05808,0,1,1,0.16885,0.405694,0.328547,7.00886,0.38033,-0.00183561,1,3,s2.2,bge-m3,48,44,48,44
or-qwen3-8b__W4096__T0p3__surreal__s2,surreal,or-qwen3-8b,0.3,2,4096,,,0.0737533,0.0361117,0.229081,0.23178,0.285107,0.0309392,0.9049,0.260594,2.24864,0,0.265746,0.0496829,0.808511,3.16667,5,4.14286,12,True,0.818182,0.977273,0.155325,0,1,1,0.318832,0.669022,0.338301,7.19633,0.329723,0.012505,1,3,s2.2,bge-m3,48,44,48,44
or-qwen3-8b__W4096__T0p3__biology__s1,biology,or-qwen3-8b,0.3,1,4096,48,44,0.0368083,0.0578721,0.260445,0.354277,0.499963,0.0182434,0.988257,0.248126,3.94204,0,0.172944,0.0486258,0.521739,2.4,3,3.33333,10,True,0.113636,0.977273,0.135251,0,0.232723,1,0.0644315,0.327172,0.459994,7.36595,0.44889,0.0121042,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__biology__s2,biology,or-qwen3-8b,0.3,2,4096,48,44,0.0766387,0.0853357,0.211761,0.584381,0.380441,0.0246428,0.963908,0.408467,2.0591,0,0.209904,0.0496829,0.829787,2.78571,4,4,14,True,0.477273,0.977273,0.148772,0,0.752877,1,0.178891,0.677258,0.437834,7.40647,0.380557,0.0239873,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__finance__s1,finance,or-qwen3-8b,0.3,1,4096,48,44,0.085815,0.0202193,0.206086,0.218937,-0.0188161,0.0865938,0.00526282,0.193292,1.56706,0,0.273707,0.0496829,0.744681,3.88889,9,0,9,True,1,1,0.00854759,0,1,1,0.188788,0.235202,0.459337,7.63429,0.389843,0.0026826,1,3,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__finance__s2,finance,or-qwen3-8b,0.3,2,4096,48,44,0.0108426,0.0265078,0.154229,0.136566,0.0954647,0.0227452,0.663744,0.0303456,5.18617,0,2.98023e-08,0,0,0,0,0,0,True,0.0681818,1,0.020174,0,1,1,0.0558745,0.157143,0.474176,7.40244,0.427833,0.00345798,1,2,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__love__s1,love,or-qwen3-8b,0.3,1,4096,48,44,0.0522425,0.051048,0.275868,0.345928,0.486855,0.0137523,0.99293,0.351461,2.0662,0,0.231465,0.0486258,0.869565,4,9,4.64,10,False,0.477273,1,0.114604,0,0.0104395,1,0.197576,0.713464,0.400477,7.35194,0.395547,-0.0302121,0,0,s5.1,bge-m3,,,,
or-qwen3-8b__W4096__T0p3__love__s2,love,or-qwen3-8b,0.3,2,4096,48,44,0.0540407,0.0499851,0.215674,0.287702,0.427828,0.0226818,0.97553,0.296679,1.74528,0,0.224146,0.0496829,0.702128,2.75,4,4.08,12,True,0.545455,1,0.107249,0,0.584088,1,0.161887,0.511269,0.399982,7.3793,0.402844,-0.0292006,1,3,s5.1,bge-m3,,,,
