semantic_seed,quarter,n_trajectories,block_fill,block_fill_ci_low,block_fill_ci_high,stop_rate,stop_rate_ci_low,stop_rate_ci_high
biology,1,2,0.540838,0.246105,0.835571,0.785714,0.571429,1
biology,2,2,0.911711,0.823421,1,0.447368,0,0.894737
biology,3,2,0.852806,0.848769,0.856842,0.362348,0.263158,0.461538
biology,4,2,0.84325,0.6865,1,0.25,0,0.5
finance,1,2,0.889815,0.8234,0.956231,0.576923,0.153846,1
finance,2,2,0.932857,0.865714,1,0.5,0,1
finance,3,2,0.933786,0.867571,1,0.5,0,1
finance,4,2,0.940071,0.880143,1,0.464286,0,0.928571
love,1,2,0.956419,0.93615,0.976688,0.1625,0.125,0.2
love,2,2,0.825929,0.764437,0.887421,0.297697,0.157895,0.4375
love,3,2,0.463844,0.3085,0.619188,1,1,1
love,4,2,0.593267,0.376,0.810533,0.907018,0.866667,0.947368
noise,1,2,0.979346,0.976923,0.981769,0.269231,0.0769231,0.461538
noise,2,2,0.997917,0.995833,1,0.0416667,0,0.0833333
noise,3,2,1,1,1,0,0,0
noise,4,2,0.956583,0.913167,1,0.125,0,0.25
philosophy,1,2,0.969923,0.939846,1,0.0769231,0,0.153846
philosophy,2,2,0.998208,0.996417,1,0.0416667,0,0.0833333
philosophy,3,2,1,1,1,0,0,0
philosophy,4,2,1,1,1,0,0,0
physics,1,2,0.824108,0.665063,0.983154,0.420673,0.153846,0.6875
physics,2,2,0.8191,0.6382,1,0.466667,0,0.933333
physics,3,2,0.831094,0.815187,0.847,0.271635,0.230769,0.3125
physics,4,2,0.970308,0.94475,0.995867,0.075,0.0666667,0.0833333
programming,1,2,0.893038,0.846154,0.939923,0.230769,0.153846,0.307692
programming,2,2,1,1,1,0,0,0
programming,3,2,1,1,1,0,0,0
programming,4,2,1,1,1,0,0,0
reactor-stable,1,2,0.803547,0.689786,0.917308,0.541209,0.153846,0.928571
reactor-stable,2,2,0.869893,0.739786,1,0.214286,0,0.428571
reactor-stable,3,2,0.984154,0.968308,1,0.0384615,0,0.0769231
reactor-stable,4,2,0.975208,0.950417,1,0.0416667,0,0.0833333
reactor-unstable,1,2,0.906808,0.893615,0.92,0.192308,0.153846,0.230769
reactor-unstable,2,2,1,1,1,0,0,0
reactor-unstable,3,2,1,1,1,0,0,0
reactor-unstable,4,2,1,1,1,0,0,0
recipe,1,2,0.247174,0.225611,0.268737,1,1,1
recipe,2,2,0.655722,0.577556,0.733889,0.916667,0.833333,1
recipe,3,2,0.8765,0.806,0.947,0.666667,0.333333,1
recipe,4,2,0.908389,0.816778,1,0.472222,0,0.944444
surreal,1,2,0.72731,0.697762,0.756857,0.630952,0.619048,0.642857
surreal,2,2,0.615872,0.388667,0.843077,0.692308,0.384615,1
surreal,3,2,0.799405,0.59881,1,0.5,0,1
surreal,4,2,0.8363,0.6726,1,0.475,0,0.95
war,1,2,0.793426,0.645125,0.941727,0.570076,0.181818,0.958333
war,2,2,0.54994,0.479833,0.620048,0.738095,0.47619,1
war,3,2,0.369161,0.347364,0.390958,1,1,1
war,4,2,0.478754,0.359333,0.598174,0.821946,0.73913,0.904762
waterloo-lost,1,2,0.409111,0.167785,0.650438,1,1,1
waterloo-lost,2,2,0.416,0.147,0.685,1,1,1
waterloo-lost,3,2,0.455375,0.147,0.76375,0.875,0.75,1
waterloo-lost,4,2,0.586147,0.172295,1,0.49359,0,0.987179
waterloo-won,1,2,0.734773,0.707,0.762545,0.511655,0.484848,0.538462
waterloo-won,2,2,0.690109,0.380219,1,0.46875,0,0.9375
waterloo-won,3,2,0.596422,0.192844,1,0.5,0,1
waterloo-won,4,2,0.607266,0.214531,1,0.484375,0,0.96875
