band,scope,delta,d_twin,d_control,delta_ci_low,delta_ci_high,divergent,n_twin_pairs,n_control_pairs,embedding
0,all,0.031257,0.172864,0.141607,-0.058747,0.0879546,False,28,28,bge-m3
0,reactor-stable+reactor-unstable,0.0143977,0.187976,0.173578,-0.058747,0.0875424,False,14,14,bge-m3
0,waterloo-lost+waterloo-won,0.0481162,0.157752,0.109636,0.0213684,0.074864,True,14,14,bge-m3
2,all,0.0259541,0.201697,0.175743,-0.151286,0.148334,False,32,32,bge-m3
2,reactor-stable+reactor-unstable,0.00970229,0.246564,0.236862,-0.128929,0.148334,False,16,16,bge-m3
2,waterloo-lost+waterloo-won,0.0422059,0.15683,0.114625,0.000931044,0.0834808,True,16,16,bge-m3
4,all,0.0222455,0.206569,0.184324,-0.111098,0.111971,False,32,32,bge-m3
4,reactor-stable+reactor-unstable,0.00316257,0.228653,0.22549,-0.0969916,0.103317,False,16,16,bge-m3
4,waterloo-lost+waterloo-won,0.0413284,0.184486,0.143157,-0.00521041,0.0878671,False,16,16,bge-m3
6,all,0.0247456,0.213712,0.188967,-0.0732644,0.134865,False,32,32,bge-m3
6,reactor-stable+reactor-unstable,0.00795922,0.209482,0.201523,-0.0732644,0.0891828,False,16,16,bge-m3
6,waterloo-lost+waterloo-won,0.0415319,0.217942,0.17641,-0.0648094,0.147873,False,16,16,bge-m3
8,all,0.0294544,0.235858,0.206404,-0.139185,0.226158,False,32,32,bge-m3
8,reactor-stable+reactor-unstable,0.0109619,0.210194,0.199232,-0.0715706,0.0934944,False,16,16,bge-m3
8,waterloo-lost+waterloo-won,0.0479469,0.261522,0.213575,-0.139185,0.235079,False,16,16,bge-m3
10,all,0.0275709,0.288835,0.261264,-0.367773,0.463153,False,32,32,bge-m3
10,reactor-stable+reactor-unstable,0.00771937,0.204626,0.196907,-0.0770563,0.0924951,False,16,16,bge-m3
10,waterloo-lost+waterloo-won,0.0474225,0.373044,0.325621,-0.368308,0.463153,False,16,16,bge-m3
12,all,0.0281913,0.296784,0.268592,-0.39404,0.4748,False,4,4,bge-m3
12,reactor-stable+reactor-unstable,0.00771937,0.204626,0.196907,-0.0770563,0.0924951,False,2,2,bge-m3
12,waterloo-lost+waterloo-won,0.0486633,0.388941,0.340278,-0.39404,0.491367,False,2,2,bge-m3
0,all,0.0507677,0.18276,0.131992,-0.0340715,0.112342,False,28,28,qwen3-embed-8b
0,reactor-stable+reactor-unstable,0.0351799,0.178804,0.143624,-0.0440473,0.114407,False,14,14,qwen3-embed-8b
0,waterloo-lost+waterloo-won,0.0663554,0.186715,0.12036,0.0343922,0.0983186,True,14,14,qwen3-embed-8b
2,all,0.0443978,0.219033,0.174636,-0.163006,0.175674,False,32,32,qwen3-embed-8b
2,reactor-stable+reactor-unstable,0.0234144,0.259811,0.236397,-0.129592,0.176421,False,16,16,qwen3-embed-8b
2,waterloo-lost+waterloo-won,0.0653812,0.178256,0.112875,0.0442352,0.0865271,True,16,16,qwen3-embed-8b
4,all,0.0452592,0.238837,0.193578,-0.140835,0.175497,False,32,32,qwen3-embed-8b
4,reactor-stable+reactor-unstable,0.0307744,0.2669,0.236126,-0.117752,0.179301,False,16,16,qwen3-embed-8b
4,waterloo-lost+waterloo-won,0.0597441,0.210773,0.151029,0.0168797,0.102608,True,16,16,qwen3-embed-8b
6,all,0.0433765,0.253938,0.210562,-0.0931025,0.190245,False,32,32,qwen3-embed-8b
6,reactor-stable+reactor-unstable,0.0488659,0.271753,0.222887,-0.0925132,0.190245,False,16,16,qwen3-embed-8b
6,waterloo-lost+waterloo-won,0.0378872,0.236123,0.198236,-0.0803167,0.156091,False,16,16,qwen3-embed-8b
8,all,0.0314794,0.289185,0.257706,-0.222132,0.249287,False,32,32,qwen3-embed-8b
8,reactor-stable+reactor-unstable,0.0493815,0.277341,0.22796,-0.104471,0.203234,False,16,16,qwen3-embed-8b
8,waterloo-lost+waterloo-won,0.0135773,0.301029,0.287452,-0.222132,0.249287,False,16,16,qwen3-embed-8b
10,all,0.0284705,0.364183,0.335713,-0.513074,0.550062,False,32,32,qwen3-embed-8b
10,reactor-stable+reactor-unstable,0.0538147,0.27699,0.223175,-0.0921307,0.19976,False,16,16,qwen3-embed-8b
10,waterloo-lost+waterloo-won,0.00312629,0.451377,0.44825,-0.543809,0.550062,False,16,16,qwen3-embed-8b
12,all,0.0226854,0.391718,0.369032,-0.687817,0.670729,False,4,4,qwen3-embed-8b
12,reactor-stable+reactor-unstable,0.0539145,0.276939,0.223025,-0.0916826,0.199512,False,2,2,qwen3-embed-8b
12,waterloo-lost+waterloo-won,-0.00854374,0.506496,0.51504,-0.687817,0.670729,False,2,2,qwen3-embed-8b
