band,scope,embedding,delta,d_twin,d_control,divergent,n_twin_pairs,n_control_pairs,delta_ci_low,delta_ci_high
0,all,bge-m3,0.031257,0.172864,0.141607,False,28,28,-0.058747,0.0879546
0,reactor-stable+reactor-unstable,bge-m3,0.0143977,0.187976,0.173578,False,14,14,-0.058747,0.0875424
0,waterloo-lost+waterloo-won,bge-m3,0.0481162,0.157752,0.109636,True,14,14,0.0213684,0.074864
2,all,bge-m3,0.0259541,0.201697,0.175743,False,32,32,-0.151286,0.148334
2,reactor-stable+reactor-unstable,bge-m3,0.00970229,0.246564,0.236862,False,16,16,-0.128929,0.148334
2,waterloo-lost+waterloo-won,bge-m3,0.0422059,0.15683,0.114625,True,16,16,0.000931044,0.0834808
4,all,bge-m3,0.0222455,0.206569,0.184324,False,32,32,-0.111098,0.111971
4,reactor-stable+reactor-unstable,bge-m3,0.00316257,0.228653,0.22549,False,16,16,-0.0969916,0.103317
4,waterloo-lost+waterloo-won,bge-m3,0.0413284,0.184486,0.143157,False,16,16,-0.00521041,0.0878671
6,all,bge-m3,0.0247456,0.213712,0.188967,False,32,32,-0.0732644,0.134865
6,reactor-stable+reactor-unstable,bge-m3,0.00795922,0.209482,0.201523,False,16,16,-0.0732644,0.0891828
6,waterloo-lost+waterloo-won,bge-m3,0.0415319,0.217942,0.17641,False,16,16,-0.0648094,0.147873
8,all,bge-m3,0.0294544,0.235858,0.206404,False,32,32,-0.139185,0.226158
8,reactor-stable+reactor-unstable,bge-m3,0.0109619,0.210194,0.199232,False,16,16,-0.0715706,0.0934944
8,waterloo-lost+waterloo-won,bge-m3,0.0479469,0.261522,0.213575,False,16,16,-0.139185,0.235079
10,all,bge-m3,0.0275709,0.288835,0.261264,False,32,32,-0.367773,0.463153
10,reactor-stable+reactor-unstable,bge-m3,0.00771937,0.204626,0.196907,False,16,16,-0.0770563,0.0924951
10,waterloo-lost+waterloo-won,bge-m3,0.0474225,0.373044,0.325621,False,16,16,-0.368308,0.463153
12,all,bge-m3,0.0281913,0.296784,0.268592,False,4,4,-0.39404,0.4748
12,reactor-stable+reactor-unstable,bge-m3,0.00771937,0.204626,0.196907,False,2,2,-0.0770563,0.0924951
12,waterloo-lost+waterloo-won,bge-m3,0.0486633,0.388941,0.340278,False,2,2,-0.39404,0.491367
0,all,qwen3-embed-8b,0.0507677,0.18276,0.131992,False,28,28,-0.0340715,0.112342
0,reactor-stable+reactor-unstable,qwen3-embed-8b,0.0351799,0.178804,0.143624,False,14,14,-0.0440473,0.114407
0,waterloo-lost+waterloo-won,qwen3-embed-8b,0.0663554,0.186715,0.12036,True,14,14,0.0343922,0.0983186
2,all,qwen3-embed-8b,0.0443978,0.219033,0.174636,False,32,32,-0.163006,0.175674
2,reactor-stable+reactor-unstable,qwen3-embed-8b,0.0234144,0.259811,0.236397,False,16,16,-0.129592,0.176421
2,waterloo-lost+waterloo-won,qwen3-embed-8b,0.0653812,0.178256,0.112875,True,16,16,0.0442352,0.0865271
4,all,qwen3-embed-8b,0.0452592,0.238837,0.193578,False,32,32,-0.140835,0.175497
4,reactor-stable+reactor-unstable,qwen3-embed-8b,0.0307744,0.2669,0.236126,False,16,16,-0.117752,0.179301
4,waterloo-lost+waterloo-won,qwen3-embed-8b,0.0597441,0.210773,0.151029,True,16,16,0.0168797,0.102608
6,all,qwen3-embed-8b,0.0433765,0.253938,0.210562,False,32,32,-0.0931025,0.190245
6,reactor-stable+reactor-unstable,qwen3-embed-8b,0.0488659,0.271753,0.222887,False,16,16,-0.0925132,0.190245
6,waterloo-lost+waterloo-won,qwen3-embed-8b,0.0378872,0.236123,0.198236,False,16,16,-0.0803167,0.156091
8,all,qwen3-embed-8b,0.0314794,0.289185,0.257706,False,32,32,-0.222132,0.249287
8,reactor-stable+reactor-unstable,qwen3-embed-8b,0.0493815,0.277341,0.22796,False,16,16,-0.104471,0.203234
8,waterloo-lost+waterloo-won,qwen3-embed-8b,0.0135773,0.301029,0.287452,False,16,16,-0.222132,0.249287
10,all,qwen3-embed-8b,0.0284705,0.364183,0.335713,False,32,32,-0.513074,0.550062
10,reactor-stable+reactor-unstable,qwen3-embed-8b,0.0538147,0.27699,0.223175,False,16,16,-0.0921307,0.19976
10,waterloo-lost+waterloo-won,qwen3-embed-8b,0.00312629,0.451377,0.44825,False,16,16,-0.543809,0.550062
12,all,qwen3-embed-8b,0.0226854,0.391718,0.369032,False,4,4,-0.687817,0.670729
12,reactor-stable+reactor-unstable,qwen3-embed-8b,0.0539145,0.276939,0.223025,False,2,2,-0.0916826,0.199512
12,waterloo-lost+waterloo-won,qwen3-embed-8b,-0.00854374,0.506496,0.51504,False,2,2,-0.687817,0.670729
