band,scope,delta,d_twin,d_control,delta_ci_low,delta_ci_high,divergent,n_twin_pairs,n_control_pairs
0,all,0.00902785,0.172864,0.163836,-0.0379659,0.0559386,False,28,84
0,biology,,,,,,False,0,7
0,finance,,,,,,False,0,7
0,love,,,,,,False,0,7
0,noise,,,,,,False,0,7
0,philosophy,,,,,,False,0,7
0,programming,,,,,,False,0,7
0,reactor-stable+reactor-unstable,0.0143977,0.187976,0.173578,-0.058747,0.0875424,False,14,14
0,recipe,,,,,,False,0,7
0,war,,,,,,False,0,7
0,waterloo-lost+waterloo-won,0.0481162,0.157752,0.109636,0.0213684,0.074864,True,14,14
2,all,-0.00293052,0.201697,0.204628,-0.0908102,0.0809771,False,32,96
2,biology,,,,,,False,0,8
2,finance,,,,,,False,0,8
2,love,,,,,,False,0,8
2,noise,,,,,,False,0,8
2,philosophy,,,,,,False,0,8
2,programming,,,,,,False,0,8
2,reactor-stable+reactor-unstable,0.00970229,0.246564,0.236862,-0.128929,0.148334,False,16,16
2,recipe,,,,,,False,0,8
2,war,,,,,,False,0,8
2,waterloo-lost+waterloo-won,0.0422059,0.15683,0.114625,0.000931044,0.0834808,True,16,16
4,all,-0.0183357,0.206569,0.224905,-0.0786839,0.0452561,False,32,96
4,biology,,,,,,False,0,8
4,finance,,,,,,False,0,8
4,love,,,,,,False,0,8
4,noise,,,,,,False,0,8
4,philosophy,,,,,,False,0,8
4,programming,,,,,,False,0,8
4,reactor-stable+reactor-unstable,0.00316257,0.228653,0.22549,-0.0969916,0.103317,False,16,16
4,recipe,,,,,,False,0,8
4,war,,,,,,False,0,8
4,waterloo-lost+waterloo-won,0.0413284,0.184486,0.143157,-0.00521041,0.0878671,False,16,16
6,all,-0.00814666,0.213712,0.221859,-0.0821829,0.0685642,False,32,96
6,biology,,,,,,False,0,8
6,finance,,,,,,False,0,8
6,love,,,,,,False,0,8
6,noise,,,,,,False,0,8
6,philosophy,,,,,,False,0,8
6,programming,,,,,,False,0,8
6,reactor-stable+reactor-unstable,0.00795922,0.209482,0.201523,-0.0732644,0.0891828,False,16,16
6,recipe,,,,,,False,0,8
6,war,,,,,,False,0,8
6,waterloo-lost+waterloo-won,0.0415319,0.217942,0.17641,-0.0648094,0.147873,False,16,16
8,all,0.00325842,0.235858,0.2326,-0.0964754,0.133001,False,32,96
8,biology,,,,,,False,0,8
8,finance,,,,,,False,0,8
8,love,,,,,,False,0,8
8,noise,,,,,,False,0,8
8,philosophy,,,,,,False,0,8
8,programming,,,,,,False,0,8
8,reactor-stable+reactor-unstable,0.0109619,0.210194,0.199232,-0.0715706,0.0934944,False,16,16
8,recipe,,,,,,False,0,8
8,war,,,,,,False,0,8
8,waterloo-lost+waterloo-won,0.0479469,0.261522,0.213575,-0.139185,0.235079,False,16,16
10,all,0.0269467,0.288835,0.261888,-0.154028,0.331348,False,32,96
10,biology,,,,,,False,0,8
10,finance,,,,,,False,0,8
10,love,,,,,,False,0,8
10,noise,,,,,,False,0,8
10,philosophy,,,,,,False,0,8
10,programming,,,,,,False,0,8
10,reactor-stable+reactor-unstable,0.00771937,0.204626,0.196907,-0.0770563,0.0924951,False,16,16
10,recipe,,,,,,False,0,8
10,war,,,,,,False,0,8
10,waterloo-lost+waterloo-won,0.0474225,0.373044,0.325621,-0.368308,0.463153,False,16,16
12,all,0.00917002,0.296784,0.287614,-0.197802,0.340368,False,4,12
12,biology,,,,,,False,0,1
12,finance,,,,,,False,0,1
12,love,,,,,,False,0,1
12,noise,,,,,,False,0,1
12,philosophy,,,,,,False,0,1
12,programming,,,,,,False,0,1
12,reactor-stable+reactor-unstable,0.00771937,0.204626,0.196907,-0.0770563,0.0924951,False,2,2
12,recipe,,,,,,False,0,1
12,war,,,,,,False,0,1
12,waterloo-lost+waterloo-won,0.0486633,0.388941,0.340278,-0.39404,0.491367,False,2,2
