band,scope,delta,d_twin,d_control,delta_ci_low,delta_ci_high,divergent,n_twin_pairs,n_control_pairs
0,all,0.0356216,0.18276,0.147138,-0.0116593,0.0825991,False,28,84
0,biology,,,,,,False,0,7
0,finance,,,,,,False,0,7
0,love,,,,,,False,0,7
0,noise,,,,,,False,0,7
0,philosophy,,,,,,False,0,7
0,programming,,,,,,False,0,7
0,reactor-stable+reactor-unstable,0.0351799,0.178804,0.143624,-0.0440473,0.114407,False,14,14
0,recipe,,,,,,False,0,7
0,war,,,,,,False,0,7
0,waterloo-lost+waterloo-won,0.0663554,0.186715,0.12036,0.0343922,0.0983186,True,14,14
2,all,0.0296321,0.219033,0.189401,-0.0498635,0.114236,False,32,96
2,biology,,,,,,False,0,8
2,finance,,,,,,False,0,8
2,love,,,,,,False,0,8
2,noise,,,,,,False,0,8
2,philosophy,,,,,,False,0,8
2,programming,,,,,,False,0,8
2,reactor-stable+reactor-unstable,0.0234144,0.259811,0.236397,-0.129592,0.176421,False,16,16
2,recipe,,,,,,False,0,8
2,war,,,,,,False,0,8
2,waterloo-lost+waterloo-won,0.0653812,0.178256,0.112875,0.0442352,0.0865271,True,16,16
4,all,0.0276194,0.238837,0.211217,-0.0530989,0.107847,False,32,96
4,biology,,,,,,False,0,8
4,finance,,,,,,False,0,8
4,love,,,,,,False,0,8
4,noise,,,,,,False,0,8
4,philosophy,,,,,,False,0,8
4,programming,,,,,,False,0,8
4,reactor-stable+reactor-unstable,0.0307744,0.2669,0.236126,-0.117752,0.179301,False,16,16
4,recipe,,,,,,False,0,8
4,war,,,,,,False,0,8
4,waterloo-lost+waterloo-won,0.0597441,0.210773,0.151029,0.0168797,0.102608,True,16,16
6,all,0.0307896,0.253938,0.223149,-0.0551816,0.114179,False,32,96
6,biology,,,,,,False,0,8
6,finance,,,,,,False,0,8
6,love,,,,,,False,0,8
6,noise,,,,,,False,0,8
6,philosophy,,,,,,False,0,8
6,programming,,,,,,False,0,8
6,reactor-stable+reactor-unstable,0.0488659,0.271753,0.222887,-0.0925132,0.190245,False,16,16
6,recipe,,,,,,False,0,8
6,war,,,,,,False,0,8
6,waterloo-lost+waterloo-won,0.0378872,0.236123,0.198236,-0.0803167,0.156091,False,16,16
8,all,0.0336341,0.289185,0.255551,-0.105544,0.181661,False,32,96
8,biology,,,,,,False,0,8
8,finance,,,,,,False,0,8
8,love,,,,,,False,0,8
8,noise,,,,,,False,0,8
8,philosophy,,,,,,False,0,8
8,programming,,,,,,False,0,8
8,reactor-stable+reactor-unstable,0.0493815,0.277341,0.22796,-0.104471,0.203234,False,16,16
8,recipe,,,,,,False,0,8
8,war,,,,,,False,0,8
8,waterloo-lost+waterloo-won,0.0135773,0.301029,0.287452,-0.222132,0.249287,False,16,16
10,all,0.0653715,0.364183,0.298812,-0.195143,0.43453,False,32,96
10,biology,,,,,,False,0,8
10,finance,,,,,,False,0,8
10,love,,,,,,False,0,8
10,noise,,,,,,False,0,8
10,philosophy,,,,,,False,0,8
10,programming,,,,,,False,0,8
10,reactor-stable+reactor-unstable,0.0538147,0.27699,0.223175,-0.0921307,0.19976,False,16,16
10,recipe,,,,,,False,0,8
10,war,,,,,,False,0,8
10,waterloo-lost+waterloo-won,0.00312629,0.451377,0.44825,-0.543809,0.550062,False,16,16
12,all,0.038545,0.391718,0.353173,-0.281102,0.52756,False,4,12
12,biology,,,,,,False,0,1
12,finance,,,,,,False,0,1
12,love,,,,,,False,0,1
12,noise,,,,,,False,0,1
12,philosophy,,,,,,False,0,1
12,programming,,,,,,False,0,1
12,reactor-stable+reactor-unstable,0.0539145,0.276939,0.223025,-0.0916826,0.199512,False,2,2
12,recipe,,,,,,False,0,1
12,war,,,,,,False,0,1
12,waterloo-lost+waterloo-won,-0.00854374,0.506496,0.51504,-0.687817,0.670729,False,2,2
