band,d_within,d_between,gap,gap_ci_low,gap_ci_high,separated,n_within_pairs,n_between_pairs,n_boot_valid,embedding
0,0.170404,0.485005,0.314601,0.271688,0.363336,True,70,1260,2000,bge-m3
2,0.224142,0.487853,0.263711,0.195836,0.336501,True,80,1440,1996,bge-m3
4,0.249988,0.492993,0.243005,0.171967,0.321583,True,80,1440,1999,bge-m3
6,0.245136,0.485684,0.240547,0.149183,0.324193,True,80,1440,1998,bge-m3
8,0.249412,0.475495,0.226083,0.145652,0.315328,True,80,1440,2000,bge-m3
10,0.261734,0.479079,0.217345,0.128611,0.308319,True,80,1440,2000,bge-m3
12,0.288107,0.489002,0.200895,0.0652385,0.332212,True,9,162,1994,bge-m3
0,0.150786,0.765857,0.615071,0.555434,0.672746,True,70,1260,2000,qwen3-embed-8b
2,0.208361,0.75799,0.54963,0.482258,0.63383,True,80,1440,1996,qwen3-embed-8b
4,0.245277,0.765163,0.519886,0.429665,0.628194,True,80,1440,1999,qwen3-embed-8b
6,0.25589,0.761099,0.505209,0.412028,0.611926,True,80,1440,1998,qwen3-embed-8b
8,0.275614,0.74993,0.474316,0.373484,0.599392,True,80,1440,2000,qwen3-embed-8b
10,0.295358,0.741166,0.445807,0.314644,0.588648,True,80,1440,2000,qwen3-embed-8b
12,0.346552,0.736703,0.390151,0.150537,0.593395,True,9,162,1994,qwen3-embed-8b
0,0.0979327,0.362726,0.264793,0.238069,0.299459,True,70,1260,2000,gemini-embed-001
2,0.131799,0.355599,0.223801,0.174509,0.270019,True,80,1440,1996,gemini-embed-001
4,0.142715,0.35107,0.208355,0.157796,0.265569,True,80,1440,1999,gemini-embed-001
6,0.147743,0.353963,0.206221,0.137419,0.269975,True,80,1440,1998,gemini-embed-001
8,0.155367,0.346829,0.191462,0.126273,0.258319,True,80,1440,2000,gemini-embed-001
10,0.166908,0.350055,0.183147,0.119851,0.253635,True,80,1440,2000,gemini-embed-001
12,0.200211,0.350228,0.150016,0.0289632,0.265854,True,9,162,1994,gemini-embed-001
