seed_row,seed_col,kind,distance,n_chunk_pairs,last_band,embedding
physics,physics,within,,0,12,bge-m3
physics,surreal,between,0.386867,2,12,bge-m3
physics,finance,between,0.454809,2,12,bge-m3
physics,biology,between,0.541244,2,12,bge-m3
physics,war,between,0.494261,2,12,bge-m3
physics,love,between,0.373224,2,12,bge-m3
physics,recipe,between,0.647033,2,12,bge-m3
physics,programming,between,0.508248,2,12,bge-m3
physics,philosophy,between,0.416563,2,12,bge-m3
physics,noise,between,0.454707,2,12,bge-m3
surreal,physics,between,0.386867,2,12,bge-m3
surreal,surreal,within,0.215968,1,12,bge-m3
surreal,finance,between,0.481544,4,12,bge-m3
surreal,biology,between,0.527894,4,12,bge-m3
surreal,war,between,0.388494,4,12,bge-m3
surreal,love,between,0.264383,4,12,bge-m3
surreal,recipe,between,0.554693,4,12,bge-m3
surreal,programming,between,0.554675,4,12,bge-m3
surreal,philosophy,between,0.404218,4,12,bge-m3
surreal,noise,between,0.356444,4,12,bge-m3
finance,physics,between,0.454809,2,12,bge-m3
finance,surreal,between,0.481544,4,12,bge-m3
finance,finance,within,0.1885,1,12,bge-m3
finance,biology,between,0.523199,4,12,bge-m3
finance,war,between,0.491337,4,12,bge-m3
finance,love,between,0.448486,4,12,bge-m3
finance,recipe,between,0.577895,4,12,bge-m3
finance,programming,between,0.429702,4,12,bge-m3
finance,philosophy,between,0.477356,4,12,bge-m3
finance,noise,between,0.488105,4,12,bge-m3
biology,physics,between,0.541244,2,12,bge-m3
biology,surreal,between,0.527894,4,12,bge-m3
biology,finance,between,0.523199,4,12,bge-m3
biology,biology,within,0.438598,1,12,bge-m3
biology,war,between,0.532335,4,12,bge-m3
biology,love,between,0.522207,4,12,bge-m3
biology,recipe,between,0.53284,4,12,bge-m3
biology,programming,between,0.525654,4,12,bge-m3
biology,philosophy,between,0.579571,4,12,bge-m3
biology,noise,between,0.520657,4,12,bge-m3
war,physics,between,0.494261,2,12,bge-m3
war,surreal,between,0.388494,4,12,bge-m3
war,finance,between,0.491337,4,12,bge-m3
war,biology,between,0.532335,4,12,bge-m3
war,war,within,0.477358,1,12,bge-m3
war,love,between,0.352883,4,12,bge-m3
war,recipe,between,0.519739,4,12,bge-m3
war,programming,between,0.522553,4,12,bge-m3
war,philosophy,between,0.450438,4,12,bge-m3
war,noise,between,0.476201,4,12,bge-m3
love,physics,between,0.373224,2,12,bge-m3
love,surreal,between,0.264383,4,12,bge-m3
love,finance,between,0.448486,4,12,bge-m3
love,biology,between,0.522207,4,12,bge-m3
love,war,between,0.352883,4,12,bge-m3
love,love,within,0.240222,1,12,bge-m3
love,recipe,between,0.532802,4,12,bge-m3
love,programming,between,0.514989,4,12,bge-m3
love,philosophy,between,0.415077,4,12,bge-m3
love,noise,between,0.398563,4,12,bge-m3
recipe,physics,between,0.647033,2,12,bge-m3
recipe,surreal,between,0.554693,4,12,bge-m3
recipe,finance,between,0.577895,4,12,bge-m3
recipe,biology,between,0.53284,4,12,bge-m3
recipe,war,between,0.519739,4,12,bge-m3
recipe,love,between,0.532802,4,12,bge-m3
recipe,recipe,within,0.210479,1,12,bge-m3
recipe,programming,between,0.599716,4,12,bge-m3
recipe,philosophy,between,0.62088,4,12,bge-m3
recipe,noise,between,0.543496,4,12,bge-m3
programming,physics,between,0.508248,2,12,bge-m3
programming,surreal,between,0.554675,4,12,bge-m3
programming,finance,between,0.429702,4,12,bge-m3
programming,biology,between,0.525654,4,12,bge-m3
programming,war,between,0.522553,4,12,bge-m3
programming,love,between,0.514989,4,12,bge-m3
programming,recipe,between,0.599716,4,12,bge-m3
programming,programming,within,0.412409,1,12,bge-m3
programming,philosophy,between,0.519726,4,12,bge-m3
programming,noise,between,0.518941,4,12,bge-m3
philosophy,physics,between,0.416563,2,12,bge-m3
philosophy,surreal,between,0.404218,4,12,bge-m3
philosophy,finance,between,0.477356,4,12,bge-m3
philosophy,biology,between,0.579571,4,12,bge-m3
philosophy,war,between,0.450438,4,12,bge-m3
philosophy,love,between,0.415077,4,12,bge-m3
philosophy,recipe,between,0.62088,4,12,bge-m3
philosophy,programming,between,0.519726,4,12,bge-m3
philosophy,philosophy,within,0.116234,1,12,bge-m3
philosophy,noise,between,0.498388,4,12,bge-m3
noise,physics,between,0.454707,2,12,bge-m3
noise,surreal,between,0.356444,4,12,bge-m3
noise,finance,between,0.488105,4,12,bge-m3
noise,biology,between,0.520657,4,12,bge-m3
noise,war,between,0.476201,4,12,bge-m3
noise,love,between,0.398563,4,12,bge-m3
noise,recipe,between,0.543496,4,12,bge-m3
noise,programming,between,0.518941,4,12,bge-m3
noise,philosophy,between,0.498388,4,12,bge-m3
noise,noise,within,0.293194,1,12,bge-m3
physics,physics,within,,0,12,qwen3-embed-8b
physics,surreal,between,0.73457,2,12,qwen3-embed-8b
physics,finance,between,0.728066,2,12,qwen3-embed-8b
physics,biology,between,0.730654,2,12,qwen3-embed-8b
physics,war,between,0.749968,2,12,qwen3-embed-8b
physics,love,between,0.712565,2,12,qwen3-embed-8b
physics,recipe,between,0.810581,2,12,qwen3-embed-8b
physics,programming,between,0.707139,2,12,qwen3-embed-8b
physics,philosophy,between,0.731627,2,12,qwen3-embed-8b
physics,noise,between,0.724743,2,12,qwen3-embed-8b
surreal,physics,between,0.73457,2,12,qwen3-embed-8b
surreal,surreal,within,0.357028,1,12,qwen3-embed-8b
surreal,finance,between,0.814824,4,12,qwen3-embed-8b
surreal,biology,between,0.776935,4,12,qwen3-embed-8b
surreal,war,between,0.66836,4,12,qwen3-embed-8b
surreal,love,between,0.523679,4,12,qwen3-embed-8b
surreal,recipe,between,0.80039,4,12,qwen3-embed-8b
surreal,programming,between,0.845513,4,12,qwen3-embed-8b
surreal,philosophy,between,0.661966,4,12,qwen3-embed-8b
surreal,noise,between,0.559303,4,12,qwen3-embed-8b
