scope,quarter,n_trajectories,block_fill,block_fill_ci_low,block_fill_ci_high,stop_rate,stop_rate_ci_low,stop_rate_ci_high
s5_scientific_28,1,28,0.762545,0.667354,0.846466,0.497781,0.365278,0.628204
s5_scientific_28,2,28,0.805947,0.710192,0.887071,0.416084,0.261507,0.571766
s5_scientific_28,3,28,0.797325,0.692629,0.888038,0.408151,0.247641,0.577182
s5_scientific_28,4,28,0.835396,0.741879,0.920249,0.329293,0.179275,0.494553
s5_1_new_24,1,24,0.760352,0.654203,0.859374,0.493109,0.345324,0.637876
s5_1_new_24,2,24,0.820691,0.721736,0.907717,0.38885,0.233125,0.560549
s5_1_new_24,3,24,0.794337,0.677933,0.902224,0.411873,0.235865,0.600215
s5_1_new_24,4,24,0.824078,0.713914,0.922252,0.338342,0.174404,0.513075
domain_20,1,20,0.78214,0.66572,0.88065,0.472376,0.319433,0.631168
domain_20,2,20,0.830726,0.740239,0.909926,0.414214,0.239296,0.600993
domain_20,3,20,0.812659,0.707007,0.910943,0.430065,0.2389,0.624937
domain_20,4,20,0.852692,0.755844,0.935565,0.359047,0.185229,0.543317
