band,scope,delta,d_twin,d_control,divergent,n_twin_pairs,n_control_pairs,embedding
0,all,0.031257,0.172864,0.141607,False,28,28,bge-m3
0,reactor-stable+reactor-unstable,0.0143977,0.187976,0.173578,False,14,14,bge-m3
0,waterloo-lost+waterloo-won,0.0481162,0.157752,0.109636,True,14,14,bge-m3
2,all,0.0259541,0.201697,0.175743,False,32,32,bge-m3
2,reactor-stable+reactor-unstable,0.00970229,0.246564,0.236862,False,16,16,bge-m3
2,waterloo-lost+waterloo-won,0.0422059,0.15683,0.114625,True,16,16,bge-m3
4,all,0.0222455,0.206569,0.184324,False,32,32,bge-m3
4,reactor-stable+reactor-unstable,0.00316257,0.228653,0.22549,False,16,16,bge-m3
4,waterloo-lost+waterloo-won,0.0413284,0.184486,0.143157,False,16,16,bge-m3
6,all,0.0247456,0.213712,0.188967,False,32,32,bge-m3
6,reactor-stable+reactor-unstable,0.00795922,0.209482,0.201523,False,16,16,bge-m3
6,waterloo-lost+waterloo-won,0.0415319,0.217942,0.17641,False,16,16,bge-m3
8,all,0.0294544,0.235858,0.206404,False,32,32,bge-m3
8,reactor-stable+reactor-unstable,0.0109619,0.210194,0.199232,False,16,16,bge-m3
8,waterloo-lost+waterloo-won,0.0479469,0.261522,0.213575,False,16,16,bge-m3
10,all,0.0275709,0.288835,0.261264,False,32,32,bge-m3
10,reactor-stable+reactor-unstable,0.00771937,0.204626,0.196907,False,16,16,bge-m3
10,waterloo-lost+waterloo-won,0.0474225,0.373044,0.325621,False,16,16,bge-m3
12,all,0.0281913,0.296784,0.268592,False,4,4,bge-m3
12,reactor-stable+reactor-unstable,0.00771937,0.204626,0.196907,False,2,2,bge-m3
12,waterloo-lost+waterloo-won,0.0486633,0.388941,0.340278,False,2,2,bge-m3
0,all,0.0507677,0.18276,0.131992,False,28,28,qwen3-embed-8b
0,reactor-stable+reactor-unstable,0.0351799,0.178804,0.143624,False,14,14,qwen3-embed-8b
0,waterloo-lost+waterloo-won,0.0663554,0.186715,0.12036,True,14,14,qwen3-embed-8b
2,all,0.0443978,0.219033,0.174636,False,32,32,qwen3-embed-8b
2,reactor-stable+reactor-unstable,0.0234144,0.259811,0.236397,False,16,16,qwen3-embed-8b
2,waterloo-lost+waterloo-won,0.0653812,0.178256,0.112875,True,16,16,qwen3-embed-8b
4,all,0.0452592,0.238837,0.193578,False,32,32,qwen3-embed-8b
4,reactor-stable+reactor-unstable,0.0307744,0.2669,0.236126,False,16,16,qwen3-embed-8b
4,waterloo-lost+waterloo-won,0.0597441,0.210773,0.151029,True,16,16,qwen3-embed-8b
6,all,0.0433765,0.253938,0.210562,False,32,32,qwen3-embed-8b
6,reactor-stable+reactor-unstable,0.0488659,0.271753,0.222887,False,16,16,qwen3-embed-8b
6,waterloo-lost+waterloo-won,0.0378872,0.236123,0.198236,False,16,16,qwen3-embed-8b
8,all,0.0314794,0.289185,0.257706,False,32,32,qwen3-embed-8b
8,reactor-stable+reactor-unstable,0.0493815,0.277341,0.22796,False,16,16,qwen3-embed-8b
8,waterloo-lost+waterloo-won,0.0135773,0.301029,0.287452,False,16,16,qwen3-embed-8b
10,all,0.0284705,0.364183,0.335713,False,32,32,qwen3-embed-8b
10,reactor-stable+reactor-unstable,0.0538147,0.27699,0.223175,False,16,16,qwen3-embed-8b
10,waterloo-lost+waterloo-won,0.00312629,0.451377,0.44825,False,16,16,qwen3-embed-8b
12,all,0.0226854,0.391718,0.369032,False,4,4,qwen3-embed-8b
12,reactor-stable+reactor-unstable,0.0539145,0.276939,0.223025,False,2,2,qwen3-embed-8b
12,waterloo-lost+waterloo-won,-0.00854374,0.506496,0.51504,False,2,2,qwen3-embed-8b
0,all,0.0252815,0.119788,0.0945068,False,28,28,gemini-embed-001
0,reactor-stable+reactor-unstable,0.0177534,0.110994,0.0932408,False,14,14,gemini-embed-001
0,waterloo-lost+waterloo-won,0.0328095,0.128582,0.0957728,True,14,14,gemini-embed-001
2,all,0.0162855,0.141848,0.125563,False,32,32,gemini-embed-001
2,reactor-stable+reactor-unstable,0.0178256,0.162765,0.144939,False,16,16,gemini-embed-001
2,waterloo-lost+waterloo-won,0.0147453,0.120932,0.106186,False,16,16,gemini-embed-001
4,all,-0.000343556,0.145477,0.14582,False,32,32,gemini-embed-001
4,reactor-stable+reactor-unstable,0.000773762,0.160239,0.159465,False,16,16,gemini-embed-001
4,waterloo-lost+waterloo-won,-0.00146087,0.130715,0.132175,False,16,16,gemini-embed-001
6,all,-0.000559927,0.163289,0.163849,False,32,32,gemini-embed-001
6,reactor-stable+reactor-unstable,0.00771082,0.160707,0.152996,False,16,16,gemini-embed-001
6,waterloo-lost+waterloo-won,-0.00883068,0.165871,0.174702,False,16,16,gemini-embed-001
8,all,-0.0122184,0.173778,0.185996,False,32,32,gemini-embed-001
8,reactor-stable+reactor-unstable,0.0124288,0.161021,0.148592,False,16,16,gemini-embed-001
8,waterloo-lost+waterloo-won,-0.0368655,0.186535,0.223401,False,16,16,gemini-embed-001
10,all,-0.0159118,0.18683,0.202742,False,32,32,gemini-embed-001
10,reactor-stable+reactor-unstable,0.00807754,0.160496,0.152418,False,16,16,gemini-embed-001
10,waterloo-lost+waterloo-won,-0.0399012,0.213163,0.253065,False,16,16,gemini-embed-001
12,all,-0.0116998,0.201922,0.213622,False,4,4,gemini-embed-001
12,reactor-stable+reactor-unstable,0.00807754,0.160496,0.152418,False,2,2,gemini-embed-001
12,waterloo-lost+waterloo-won,-0.031477,0.243349,0.274826,False,2,2,gemini-embed-001
