embedding,dropped_seed,d_within,d_between,gap,n_within_pairs,n_between_pairs
bge-m3,biology,0.269296,0.47604,0.206744,8,36
bge-m3,finance,0.300558,0.488072,0.187515,8,36
bge-m3,love,0.294092,0.503345,0.209253,8,36
bge-m3,noise,0.287471,0.49132,0.203849,8,36
bge-m3,philosophy,0.309591,0.487801,0.17821,8,36
bge-m3,physics,0.288107,0.490724,0.202618,9,36
bge-m3,programming,0.272569,0.479134,0.206565,8,36
bge-m3,recipe,0.29781,0.467054,0.169244,8,36
bge-m3,surreal,0.297124,0.500662,0.203538,8,36
bge-m3,war,0.264451,0.492078,0.227627,8,36
qwen3-embed-8b,biology,0.330127,0.736167,0.40604,8,36
qwen3-embed-8b,finance,0.372023,0.728871,0.356848,8,36
qwen3-embed-8b,love,0.333501,0.752914,0.419413,8,36
qwen3-embed-8b,noise,0.353851,0.743556,0.389705,8,36
qwen3-embed-8b,philosophy,0.377818,0.73398,0.356163,8,36
qwen3-embed-8b,physics,0.346552,0.736709,0.390157,9,36
qwen3-embed-8b,programming,0.344145,0.727312,0.383167,8,36
qwen3-embed-8b,recipe,0.362525,0.722543,0.360018,8,36
qwen3-embed-8b,surreal,0.345243,0.743497,0.398254,8,36
qwen3-embed-8b,war,0.299738,0.741437,0.441699,8,36
gemini-embed-001,biology,0.185678,0.341374,0.155697,8,36
gemini-embed-001,finance,0.209355,0.347143,0.137788,8,36
gemini-embed-001,love,0.196042,0.359113,0.163072,8,36
gemini-embed-001,noise,0.20177,0.349656,0.147886,8,36
gemini-embed-001,philosophy,0.219381,0.347367,0.127986,8,36
gemini-embed-001,physics,0.200211,0.352129,0.151918,9,36
gemini-embed-001,programming,0.196273,0.3409,0.144627,8,36
gemini-embed-001,recipe,0.212796,0.344738,0.131942,8,36
gemini-embed-001,surreal,0.203293,0.354979,0.151686,8,36
gemini-embed-001,war,0.177315,0.349671,0.172356,8,36
